"350010 Adamantina";34516;34516
"350020 Adolfo";3708;3708
"350030 Aguaí";31086;31086
"350040 Águas da Prata";7562;7562
"350050 Águas de Lindóia";17166;17166
"350055 Águas de Santa Bárbara";5564;5564
"350060 Águas de São Pedro";2384;2384
"350070 Agudos";34433;34433
"350075 Alambari";4421;4421
"350080 Alfredo Marcondes";3898;3898
"350090 Altair";3776;3776
"350100 Altinópolis";15945;15945
"350110 Alto Alegre";4282;4282
"350115 Alumínio";16513;16513
"350120 Álvares Florence";4196;4196
"350130 Álvares Machado";23707;23707
"350140 Álvaro de Carvalho";4511;4511
"350150 Alvinlândia";2999;2999
"350160 Americana";202657;202657
"350170 Américo Brasiliense";32410;32410
"350180 Américo de Campos";5798;5798
"350190 Amparo";64925;64925
"350200 Analândia";4064;4064
"350210 Andradina";56663;56663
"350220 Angatuba";21389;21389
"350230 Anhembi";5265;5265
"350240 Anhumas";3678;3678
"350250 Aparecida";35851;35851
"350260 Aparecida d'Oeste";4794;4794
"350270 Apiaí";26772;26772
"350275 Araçariguama";14694;14694
"350280 Araçatuba";180341;180341
"350290 Araçoiaba da Serra";24433;24433
"350300 Aramina";5098;5098
"350310 Arandu";6252;6252
"350315 Arapeí";2616;2616
"350320 Araraquara";201513;201513
"350330 Araras";114900;114900
"350335 Arco-Íris";2087;2087
"350340 Arealva";7757;7757
"350350 Areias";3745;3745
"350360 Areiópolis";10714;10714
"350370 Ariranha";8256;8256
"350380 Artur Nogueira";40041;40041
"350390 Arujá";69331;69331
"350395 Aspásia";1880;1880
"350400 Assis";93812;93812
"350410 Atibaia";122545;122545
"350420 Auriflama";14236;14236
"350430 Avaí";4912;4912
"350440 Avanhandava";10417;10417
"350450 Avaré";81972;81972
"350460 Bady Bassitt";13522;13522
"350470 Balbinos";2659;2659
"350480 Bálsamo";7978;7978
"350490 Bananal";10241;10241
"350500 Barão de Antonina";3042;3042
"350510 Barbosa";6401;6401
"350520 Bariri";30795;30795
"350530 Barra Bonita";36259;36259
"350535 Barra do Chapéu";5188;5188
"350540 Barra do Turvo";8106;8106
"350550 Barretos";111061;111061
"350560 Barrinha";27181;27181
"350570 Barueri";231430;231430
"350580 Bastos";21035;21035
"350590 Batatais";55362;55362
"350600 Bauru";339437;339437
"350610 Bebedouro";76844;76844
"350620 Bento de Abreu";2609;2609
"350630 Bernardino de Campos";11024;11024
"350635 Bertioga";40478;40478
"350640 Bilac";6771;6771
"350650 Birigui";104632;104632
"350660 Biritiba-Mirim";27436;27436
"350670 Boa Esperança do Sul";13482;13482
"350680 Bocaina";10461;10461
"350690 Bofete";8786;8786
"350700 Boituva";42906;42906
"350710 Bom Jesus dos Perdões";17166;17166
"350715 Bom Sucesso de Itararé";3500;3500
"350720 Borá";821;821
"350730 Boracéia";4125;4125
"350740 Borborema";14263;14263
"350745 Borebi";2180;2180
"350750 Botucatu";121519;121519
"350760 Bragança Paulista";140148;140148
"350770 Braúna";4845;4845
"350775 Brejo Alegre";2512;2512
"350780 Brodowski";19756;19756
"350790 Brotas";20847;20847
"350800 Buri";18592;18592
"350810 Buritama";15067;15067
"350820 Buritizal";3976;3976
"350830 Cabrália Paulista";4615;4615
"350840 Cabreúva";38616;38616
"350850 Caçapava";82808;82808
"350860 Cachoeira Paulista";29484;29484
"350870 Caconde";18935;18935
"350880 Cafelândia";16643;16643
"350890 Caiabu";4178;4178
"350900 Caieiras";81447;81447
"350910 Caiuá";4765;4765
"350920 Cajamar";59392;59392
"350925 Cajati";29502;29502
"350930 Cajobi";9734;9734
"350940 Cajuru";22732;22732
"350945 Campina do Monte Alegre";5538;5538
"350950 Campinas";1054941;1054941
"350960 Campo Limpo Paulista";71035;71035
"350970 Campos do Jordão";47324;47324
"350980 Campos Novos Paulista";4485;4485
"350990 Cananéia";12572;12572
"350995 Canas";4130;4130
"351000 Cândido Mota";30359;30359
"351010 Cândido Rodrigues";2710;2710
"351015 Canitar";4058;4058
