"350010 Adamantina";35001
"350020 Adolfo";3630
"350030 Aguaí";34530
"350040 Águas da Prata";7983
"350050 Águas de Lindóia";18212
"350055 Águas de Santa Bárbara";5913
"350060 Águas de São Pedro";3070
"350070 Agudos";36339
"350075 Alambari";5464
"350080 Alfredo Marcondes";4082
"350090 Altair";4038
"350100 Altinópolis";16158
"350110 Alto Alegre";4183
"350115 Alumínio";17921
"350120 Álvares Florence";3885
"350130 Álvares Machado";24570
"350140 Álvaro de Carvalho";4986
"350150 Alvinlândia";3155
"350160 Americana";226969
"350170 Américo Brasiliense";37689
"350180 Américo de Campos";5933
"350190 Amparo";69809
"350200 Analândia";4673
"350210 Andradina";57197
"350220 Angatuba";23918
"350230 Anhembi";6214
"350240 Anhumas";3970
"350250 Aparecida";36186
"350260 Aparecida d'Oeste";4430
"350270 Apiaí";25349
"350275 Araçariguama";19634
"350280 Araçatuba";191660
"350290 Araçoiaba da Serra";30713
"350300 Aramina";5453
"350310 Arandu";6347
"350315 Arapeí";2529
"350320 Araraquara";224304
"350330 Araras";127661
"350335 Arco-Íris";1907
"350340 Arealva";8296
"350350 Areias";3851
"350360 Areiópolis";11022
"350370 Ariranha";9190
"350380 Artur Nogueira";49342
"350390 Arujá";82650
"350395 Aspásia";1849
"350400 Assis";100908
"350410 Atibaia";135894
"350420 Auriflama";14896
"350430 Avaí";5240
"350440 Avanhandava";12516
"350450 Avaré";87824
"350460 Bady Bassitt";16110
"350470 Balbinos";4627
"350480 Bálsamo";8702
"350490 Bananal";10726
"350500 Barão de Antonina";3323
"350510 Barbosa";7065
"350520 Bariri";33759
"350530 Barra Bonita";36315
"350535 Barra do Chapéu";5549
"350540 Barra do Turvo";7855
"350550 Barretos";118521
"350560 Barrinha";30870
"350570 Barueri";259556
"350580 Bastos";21060
"350590 Batatais";60129
"350600 Bauru";364560
"350610 Bebedouro";77554
"350620 Bento de Abreu";2857
"350630 Bernardino de Campos";11145
"350635 Bertioga";55136
"350640 Bilac";7603
"350650 Birigui";117146
"350660 Biritiba-Mirim";30832
"350670 Boa Esperança do Sul";14450
"350680 Bocaina";11695
"350690 Bofete";10693
"350700 Boituva";54595
