"350010 Adamantina";34635;34635
"350020 Adolfo";3689;3689
"350030 Aguaí";31929;31929
"350040 Águas da Prata";7665;7665
"350050 Águas de Lindóia";17422;17422
"350055 Águas de Santa Bárbara";5649;5649
"350060 Águas de São Pedro";2552;2552
"350070 Agudos";34900;34900
"350075 Alambari";4675;4675
"350080 Alfredo Marcondes";3943;3943
"350090 Altair";3840;3840
"350100 Altinópolis";15997;15997
"350110 Alto Alegre";4258;4258
"350115 Alumínio";16858;16858
"350120 Álvares Florence";4119;4119
"350130 Álvares Machado";23918;23918
"350140 Álvaro de Carvalho";4627;4627
"350150 Alvinlândia";3037;3037
"350160 Americana";208606;208606
"350170 Américo Brasiliense";33702;33702
"350180 Américo de Campos";5830;5830
"350190 Amparo";66120;66120
"350200 Analândia";4213;4213
"350210 Andradina";56794;56794
"350220 Angatuba";22008;22008
"350230 Anhembi";5497;5497
"350240 Anhumas";3749;3749
"350250 Aparecida";35932;35932
"350260 Aparecida d'Oeste";4706;4706
"350270 Apiaí";26424;26424
"350275 Araçariguama";15903;15903
"350280 Araçatuba";183111;183111
"350290 Araçoiaba da Serra";25969;25969
"350300 Aramina";5185;5185
"350310 Arandu";6274;6274
"350315 Arapeí";2596;2596
"350320 Araraquara";207090;207090
"350330 Araras";118023;118023
"350335 Arco-Íris";2043;2043
"350340 Arealva";7889;7889
"350350 Areias";3770;3770
"350360 Areiópolis";10789;10789
"350370 Ariranha";8484;8484
"350380 Artur Nogueira";42318;42318
"350390 Arujá";72590;72590
"350395 Aspásia";1873;1873
"350400 Assis";95549;95549
"350410 Atibaia";125812;125812
"350420 Auriflama";14398;14398
"350430 Avaí";4993;4993
"350440 Avanhandava";10931;10931
"350450 Avaré";83403;83403
"350460 Bady Bassitt";14155;14155
"350470 Balbinos";3141;3141
"350480 Bálsamo";8155;8155
"350490 Bananal";10360;10360
"350500 Barão de Antonina";3111;3111
"350510 Barbosa";6563;6563
"350520 Bariri";31521;31521
"350530 Barra Bonita";36273;36273
"350535 Barra do Chapéu";5277;5277
"350540 Barra do Turvo";8044;8044
"350550 Barretos";112887;112887
"350560 Barrinha";28084;28084
"350570 Barueri";238311;238311
"350580 Bastos";21042;21042
"350590 Batatais";56528;56528
"350600 Bauru";345585;345585
"350610 Bebedouro";77019;77019
"350620 Bento de Abreu";2669;2669
"350630 Bernardino de Campos";11053;11053
"350635 Bertioga";44065;44065
"350640 Bilac";6974;6974
"350650 Birigui";107693;107693
"350660 Biritiba-Mirim";28267;28267
"350670 Boa Esperança do Sul";13720;13720
"350680 Bocaina";10762;10762
"350690 Bofete";9253;9253
"350700 Boituva";45766;45766
"350710 Bom Jesus dos Perdões";18473;18473
"350715 Bom Sucesso de Itararé";3574;3574
"350720 Borá";824;824
"350730 Boracéia";4238;4238
"350740 Borborema";14554;14554
"350745 Borebi";2256;2256
"350750 Botucatu";125527;125527
"350760 Bragança Paulista";144726;144726
"350770 Braúna";4981;4981
"350775 Brejo Alegre";2569;2569
"350780 Brodowski";20582;20582
"350790 Brotas";21421;21421
"350800 Buri";18810;18810
"350810 Buritama";15405;15405
"350820 Buritizal";4058;4058
"350830 Cabrália Paulista";4565;4565
"350840 Cabreúva";40382;40382
"350850 Caçapava";84672;84672
"350860 Cachoeira Paulista";30111;30111
"350870 Caconde";18999;18999
"350880 Cafelândia";16834;16834
"350890 Caiabu";4184;4184
"350900 Caieiras";84645;84645
"350910 Caiuá";4942;4942
"350920 Cajamar";62161;62161
"350925 Cajati";29382;29382
"350930 Cajobi";9870;9870
"350940 Cajuru";23289;23289
"350945 Campina do Monte Alegre";5619;5619
"350950 Campinas";1078862;1078862
"350960 Campo Limpo Paulista";73224;73224
"350970 Campos do Jordão";48111;48111
"350980 Campos Novos Paulista";4564;4564
"350990 Cananéia";12579;12579
"350995 Canas";4291;4291
"351000 Cândido Mota";30531;30531
"351010 Cândido Rodrigues";2725;2725
"351015 Canitar";4242;4242
"351020 Capão Bonito";47589;47589
"351030 Capela do Alto";17099;17099
"351040 Capivari";47930;47930
"351050 Caraguatatuba";97514;97514
"351060 Carapicuíba";372730;372730
"351070 Cardoso";12071;12071
"351080 Casa Branca";28661;28661
"351090 Cássia dos Coqueiros";2771;2771
"351100 Castilho";17647;17647
"351110 Catanduva";113962;113962
"351120 Catiguá";7163;7163
"351130 Cedral";7837;7837
"351140 Cerqueira César";17348;17348
"351150 Cerquilho";37896;37896
"351160 Cesário Lange";15227;15227
"351170 Charqueada";14929;14929
"355720 Chavantes";12466;12466
"351190 Clementina";6798;6798
"351200 Colina";17649;17649
"351210 Colômbia";6146;6146
"351220 Conchal";25209;25209
"351230 Conchas";16348;16348
"351240 Cordeirópolis";20688;20688
"351250 Coroados";5153;5153
"351260 Coronel Macedo";5300;5300
"351270 Corumbataí";3958;3958
"351280 Cosmópolis";56420;56420
"351290 Cosmorama";7454;7454
"351300 Cotia";192177;192177
"351310 Cravinhos";31645;31645
"351320 Cristais Paulista";7515;7515
"351330 Cruzália";2429;2429
"351340 Cruzeiro";78155;78155
"351350 Cubatão";119070;119070
"351360 Cunha";22801;22801
"351370 Descalvado";31311;31311
"351380 Diadema";387633;387633
"351385 Dirce Reis";1717;1717
"351390 Divinolândia";11738;11738
"351400 Dobrada";7897;7897
"351410 Dois Córregos";24815;24815
"351420 Dolcinópolis";2169;2169
"351430 Dourado";8842;8842
"351440 Dracena";43673;43673
"351450 Duartina";12647;12647
"351460 Dumont";7856;7856
"351470 Echaporã";6631;6631
"351480 Eldorado";14899;14899
"351490 Elias Fausto";15682;15682
"351492 Elisiário";3055;3055
"351495 Embaúba";2504;2504
"351500 Embu das Artes";237751;237751
"351510 Embu-Guaçu";62858;62858
"351512 Emilianópolis";3067;3067
"351515 Engenheiro Coelho";14574;14574
"351518 Espírito Santo do Pinhal";42654;42654
"351519 Espírito Santo do Turvo";4203;4203
"355730 Estiva Gerbi";9988;9988
"351520 Estrela d'Oeste";8445;8445
"351530 Estrela do Norte";2721;2721
"351535 Euclides da Cunha Paulista";10020;10020
"351540 Fartura";15652;15652
"351560 Fernando Prestes";5657;5657
"351550 Fernandópolis";65614;65614
"351565 Fernão";1569;1569
"351570 Ferraz de Vasconcelos";165707;165707
"351580 Flora Rica";1917;1917
"351590 Floreal";3146;3146
"351600 Flórida Paulista";12715;12715
"351610 Florínia";2989;2989
"351620 Franca";318759;318759
"351630 Francisco Morato";152936;152936
"351640 Franco da Rocha";128683;128683
"351650 Gabriel Monteiro";2786;2786
"351660 Gália";7435;7435
"351670 Garça";44302;44302
"351680 Gastão Vidigal";4139;4139
"351685 Gavião Peixoto";4458;4458
"351690 General Salgado";11003;11003
"351700 Getulina";10949;10949
"351710 Glicério";4651;4651
"351720 Guaiçara";10557;10557
"351730 Guaimbê";5512;5512
"351740 Guaíra";37649;37649
"351750 Guapiaçu";17307;17307
"351760 Guapiara";18967;18967
"351770 Guará";20138;20138
"351780 Guaraçaí";8792;8792
"351790 Guaraci";9935;9935
"351800 Guarani d'Oeste";2033;2033
"351810 Guarantã";6556;6556
"351820 Guararapes";30945;30945
"351830 Guararema";25457;25457
"351840 Guaratinguetá";112949;112949
"351850 Guareí";13751;13751
"351860 Guariba";35233;35233
"351870 Guarujá";291486;291486
"351880 Guarulhos";1213913;1213913
"351885 Guatapará";6991;6991
"351890 Guzolândia";4756;4756
"351900 Herculândia";8738;8738
"351905 Holambra";10474;10474
"351907 Hortolândia";186812;186812
"351910 Iacanga";9806;9806
"351920 Iacri";6695;6695
"351925 Iaras";5629;5629
"351930 Ibaté";30388;30388
"351940 Ibirá";10791;10791
"351950 Ibirarema";6625;6625
"351960 Ibitinga";52795;52795
"351970 Ibiúna";71264;71264
"351980 Icém";7474;7474
"351990 Iepê";7733;7733
"352000 Igaraçu do Tietê";23791;23791
"352010 Igarapava";28152;28152
"352020 Igaratá";8922;8922
"352030 Iguape";29235;29235
"352042 Ilha Comprida";8628;8628
"352044 Ilha Solteira";25451;25451
"352040 Ilhabela";26925;26925
"352050 Indaiatuba";191992;191992
"352060 Indiana";4986;4986
"352070 Indiaporã";4052;4052
"352080 Inúbia Paulista";3643;3643
"352090 Ipaussu";13727;13727
"352100 Iperó";26324;26324
"352110 Ipeúna";5716;5716
"352115 Ipiguá";4311;4311
"352120 Iporanga";4489;4489
"352130 Ipuã";13902;13902
"352140 Iracemápolis";19335;19335
"352150 Irapuã";7302;7302
"352160 Irapuru";7909;7909
"352170 Itaberá";18636;18636
"352180 Itaí";23839;23839
"352190 Itajobi";14862;14862
"352200 Itaju";3166;3166
"352210 Itanhaém";85255;85255
"352215 Itaóca";3316;3316
"352220 Itapecerica da Serra";150419;150419
"352230 Itapetininga";143097;143097
"352240 Itapeva";88790;88790
"352250 Itapevi";195617;195617
"352260 Itapira";68975;68975
"352265 Itapirapuã Paulista";3902;3902
"352270 Itápolis";40505;40505
"352280 Itaporanga";14891;14891
"352290 Itapuí";12005;12005
"352300 Itapura";4332;4332
"352310 Itaquaquecetuba";317007;317007
"352320 Itararé";48857;48857
"352330 Itariri";15378;15378
"352340 Itatiba";98618;98618
"352350 Itatinga";17822;17822
"352360 Itirapina";15202;15202
"352370 Itirapuã";5936;5936
"352380 Itobi";7730;7730
"352390 Itu";153142;153142
"352400 Itupeva";40902;40902
"352410 Ituverava";39076;39076
"352420 Jaborandi";6725;6725
"352430 Jaboticabal";72436;72436
"352440 Jacareí";211448;211448
"352450 Jaci";5384;5384
"352460 Jacupiranga";17631;17631
"352470 Jaguariúna";41441;41441
"352480 Jales";48064;48064
"352490 Jambeiro";5119;5119
"352500 Jandira";106714;106714
"352510 Jardinópolis";36767;36767
"352520 Jarinu";22611;22611
"352530 Jaú";129363;129363
"352540 Jeriquara";3280;3280
"352550 Joanópolis";11712;11712
"352560 João Ramalho";4178;4178
"352570 José Bonifácio";32534;32534
"352580 Júlio Mesquita";4477;4477
"352585 Jumirim";2707;2707
"352590 Jundiaí";367262;367262
"352600 Junqueirópolis";18759;18759
"352610 Juquiá";20122;20122
"352620 Juquitiba";28889;28889
"352630 Lagoinha";5005;5005
"352640 Laranjal Paulista";25078;25078
"352650 Lavínia";8008;8008
"352660 Lavrinhas";6608;6608
"352670 Leme";91208;91208
"352680 Lençóis Paulista";61332;61332
"352690 Limeira";276067;276067
"352700 Lindóia";6529;6529
"352710 Lins";71860;71860
"352720 Lorena";83526;83526
"352725 Lourdes";2152;2152
"352730 Louveira";34473;34473
"352740 Lucélia";19990;19990
"352750 Lucianópolis";2284;2284
"352760 Luís Antônio";10450;10450
"352770 Luiziânia";4957;4957
"352780 Lupércio";4437;4437
"352790 Lutécia";2839;2839
"352800 Macatuba";16562;16562
"352810 Macaubal";7794;7794
"352820 Macedônia";3791;3791
"352830 Magda";3348;3348
"352840 Mairinque";43501;43501
"352850 Mairiporã";77385;77385
"352860 Manduri";9037;9037
"352870 Marabá Paulista";4635;4635
"352880 Maracaí";13604;13604
"352885 Marapoama";2595;2595
"352890 Mariápolis";4005;4005
"352900 Marília";217295;217295
"352910 Marinópolis";2193;2193
"352920 Martinópolis";24360;24360
