"350010 Adamantina";34454;34454
"350020 Adolfo";3718;3718
"350030 Aguaí";30647;30647
"350040 Águas da Prata";7508;7508
"350050 Águas de Lindóia";17032;17032
"350055 Águas de Santa Bárbara";5520;5520
"350060 Águas de São Pedro";2296;2296
"350070 Agudos";34190;34190
"350075 Alambari";4289;4289
"350080 Alfredo Marcondes";3874;3874
"350090 Altair";3743;3743
"350100 Altinópolis";15918;15918
"350110 Alto Alegre";4295;4295
"350115 Alumínio";16333;16333
"350120 Álvares Florence";4236;4236
"350130 Álvares Machado";23597;23597
"350140 Álvaro de Carvalho";4451;4451
"350150 Alvinlândia";2979;2979
"350160 Americana";199558;199558
"350170 Américo Brasiliense";31736;31736
"350180 Américo de Campos";5781;5781
"350190 Amparo";64302;64302
"350200 Analândia";3986;3986
"350210 Andradina";56594;56594
"350220 Angatuba";21067;21067
"350230 Anhembi";5144;5144
"350240 Anhumas";3641;3641
"350250 Aparecida";35808;35808
"350260 Aparecida d'Oeste";4840;4840
"350270 Apiaí";26953;26953
"350275 Araçariguama";14064;14064
"350280 Araçatuba";178898;178898
"350290 Araçoiaba da Serra";23632;23632
"350300 Aramina";5053;5053
"350310 Arandu";6240;6240
"350315 Arapeí";2627;2627
"350320 Araraquara";198608;198608
"350330 Araras";113274;113274
"350335 Arco-Íris";2110;2110
"350340 Arealva";7688;7688
"350350 Areias";3732;3732
"350360 Areiópolis";10675;10675
"350370 Ariranha";8137;8137
"350380 Artur Nogueira";38855;38855
"350390 Arujá";67633;67633
"350395 Aspásia";1884;1884
"350400 Assis";92907;92907
"350410 Atibaia";120844;120844
"350420 Auriflama";14152;14152
"350430 Avaí";4870;4870
"350440 Avanhandava";10150;10150
"350450 Avaré";81227;81227
"350460 Bady Bassitt";13192;13192
"350470 Balbinos";2408;2408
"350480 Bálsamo";7885;7885
"350490 Bananal";10178;10178
"350500 Barão de Antonina";3006;3006
"350510 Barbosa";6317;6317
"350520 Bariri";30417;30417
"350530 Barra Bonita";36252;36252
"350535 Barra do Chapéu";5142;5142
"350540 Barra do Turvo";8139;8139
"350550 Barretos";110111;110111
"350560 Barrinha";26710;26710
"350570 Barueri";227845;227845
"350580 Bastos";21031;21031
"350590 Batatais";54755;54755
"350600 Bauru";336235;336235
"350610 Bebedouro";76753;76753
"350620 Bento de Abreu";2577;2577
"350630 Bernardino de Campos";11008;11008
"350635 Bertioga";38609;38609
"350640 Bilac";6665;6665
"350650 Birigui";103037;103037
"350660 Biritiba-Mirim";27004;27004
"350670 Boa Esperança do Sul";13359;13359
