"350010 Adamantina";34903;34903
"350020 Adolfo";3647;3647
"350030 Aguaí";33835;33835
"350040 Águas da Prata";7899;7899
"350050 Águas de Lindóia";18001;18001
"350055 Águas de Santa Bárbara";5841;5841
"350060 Águas de São Pedro";2934;2934
"350070 Agudos";35955;35955
"350075 Alambari";5250;5250
"350080 Alfredo Marcondes";4045;4045
"350090 Altair";3983;3983
"350100 Altinópolis";16115;16115
"350110 Alto Alegre";4203;4203
"350115 Alumínio";17639;17639
"350120 Álvares Florence";3947;3947
"350130 Álvares Machado";24394;24394
"350140 Álvaro de Carvalho";4889;4889
"350150 Alvinlândia";3122;3122
"350160 Americana";222062;222062
"350170 Américo Brasiliense";36625;36625
"350180 Américo de Campos";5903;5903
"350190 Amparo";68822;68822
"350200 Analândia";4550;4550
"350210 Andradina";57090;57090
"350220 Angatuba";23407;23407
"350230 Anhembi";6023;6023
"350240 Anhumas";3911;3911
"350250 Aparecida";36117;36117
"350260 Aparecida d'Oeste";4505;4505
"350270 Apiaí";25636;25636
"350275 Araçariguama";18638;18638
"350280 Araçatuba";189377;189377
"350290 Araçoiaba da Serra";29445;29445
"350300 Aramina";5380;5380
"350310 Arandu";6324;6324
"350315 Arapeí";2549;2549
"350320 Araraquara";219703;219703
"350330 Araras";125085;125085
"350335 Arco-Íris";1944;1944
"350340 Arealva";8189;8189
"350350 Areias";3828;3828
"350360 Areiópolis";10958;10958
"350370 Ariranha";8999;8999
"350380 Artur Nogueira";47468;47468
"350390 Arujá";79962;79962
"350395 Aspásia";1857;1857
"350400 Assis";99477;99477
"350410 Atibaia";133201;133201
"350420 Auriflama";14764;14764
"350430 Avaí";5176;5176
"350440 Avanhandava";12093;12093
"350450 Avaré";86639;86639
"350460 Bady Bassitt";15587;15587
"350470 Balbinos";4231;4231
"350480 Bálsamo";8556;8556
"350490 Bananal";10630;10630
"350500 Barão de Antonina";3268;3268
"350510 Barbosa";6930;6930
"350520 Bariri";33162;33162
"350530 Barra Bonita";36304;36304
"350535 Barra do Chapéu";5477;5477
"350540 Barra do Turvo";7904;7904
"350550 Barretos";117015;117015
"350560 Barrinha";30128;30128
"350570 Barueri";253877;253877
"350580 Bastos";21058;21058
"350590 Batatais";59166;59166
"350600 Bauru";359490;359490
"350610 Bebedouro";77414;77414
"350620 Bento de Abreu";2805;2805
"350630 Bernardino de Campos";11121;11121
"350635 Bertioga";52178;52178
"350640 Bilac";7434;7434
"350650 Birigui";114617;114617
"350660 Biritiba-Mirim";30145;30145
"350670 Boa Esperança do Sul";14256;14256
"350680 Bocaina";11443;11443
"350690 Bofete";10309;10309
"350700 Boituva";52235;52235
"350710 Bom Jesus dos Perdões";21430;21430
"350715 Bom Sucesso de Itararé";3741;3741
"350720 Borá";832;832
"350730 Boracéia";4493;4493
"350740 Borborema";15213;15213
"350745 Borebi";2427;2427
"350750 Botucatu";134592;134592
"350760 Bragança Paulista";155080;155080
"350770 Braúna";5288;5288
"350775 Brejo Alegre";2699;2699
"350780 Brodowski";22452;22452
"350790 Brotas";22719;22719
"350800 Buri";19304;19304
"350810 Buritama";16170;16170
"350820 Buritizal";4245;4245
"350830 Cabrália Paulista";4451;4451
"350840 Cabreúva";44374;44374
"350850 Caçapava";88888;88888
"350860 Cachoeira Paulista";31529;31529
"350870 Caconde";19144;19144
"350880 Cafelândia";17266;17266
"350890 Caiabu";4198;4198
"350900 Caieiras";91878;91878
"350910 Caiuá";5343;5343
"350920 Cajamar";68425;68425
"350925 Cajati";29109;29109
"350930 Cajobi";10176;10176
"350940 Cajuru";24550;24550
"350945 Campina do Monte Alegre";5802;5802
"350950 Campinas";1134826;1134826
"350960 Campo Limpo Paulista";78176;78176
"350970 Campos do Jordão";49892;49892
"350980 Campos Novos Paulista";4743;4743
"350990 Cananéia";12595;12595
"350995 Canas";4655;4655
"351000 Cândido Mota";30921;30921
"351010 Cândido Rodrigues";2761;2761
"351015 Canitar";4659;4659
"351020 Capão Bonito";47522;47522
"351030 Capela do Alto";18647;18647
"351040 Capivari";51322;51322
"351050 Caraguatatuba";107779;107779
"351060 Carapicuíba";385438;385438
"351070 Cardoso";12208;12208
"351080 Casa Branca";29451;29451
"351090 Cássia dos Coqueiros";2675;2675
"351100 Castilho";19093;19093
"351110 Catanduva";117546;117546
"351120 Catiguá";7449;7449
"351130 Cedral";8441;8441
"351140 Cerqueira César";18492;18492
"351150 Cerquilho";42603;42603
"351160 Cesário Lange";16484;16484
"351170 Charqueada";15910;15910
"355720 Chavantes";12477;12477
"351190 Clementina";7573;7573
"351200 Colina";18036;18036
"351210 Colômbia";6188;6188
"351220 Conchal";26458;26458
"351230 Conchas";17035;17035
"351240 Cordeirópolis";22342;22342
"351250 Coroados";5543;5543
"351260 Coronel Macedo";5055;5055
"351270 Corumbataí";4009;4009
"351280 Cosmópolis";63167;63167
"351290 Cosmorama";7412;7412
"351300 Cotia";216452;216452
"351310 Cravinhos";33247;33247
"351320 Cristais Paulista";7999;7999
"351330 Cruzália";2286;2286
"351340 Cruzeiro";80056;80056
"351350 Cubatão";124225;124225
"351360 Cunha";22336;22336
"351370 Descalvado";32395;32395
"351380 Diadema";403739;403739
"351385 Dirce Reis";1753;1753
"351390 Divinolândia";11418;11418
"351400 Dobrada";8348;8348
"351410 Dois Córregos";25921;25921
"351420 Dolcinópolis";2151;2151
"351430 Dourado";8878;8878
"351440 Dracena";45085;45085
"351450 Duartina";12595;12595
"351460 Dumont";8715;8715
"351470 Echaporã";6427;6427
"351480 Eldorado";15185;15185
"351490 Elias Fausto";16593;16593
"351492 Elisiário";3312;3312
"351495 Embaúba";2489;2489
"351500 Embu das Artes";253360;253360
"351510 Embu-Guaçu";65740;65740
"351512 Emilianópolis";3137;3137
"351515 Engenheiro Coelho";17196;17196
"351518 Espírito Santo do Pinhal";43462;43462
"351519 Espírito Santo do Turvo";4475;4475
"355730 Estiva Gerbi";10563;10563
"351520 Estrela d'Oeste";8456;8456
"351530 Estrela do Norte";2747;2747
"351535 Euclides da Cunha Paulista";9775;9775
"351540 Fartura";15852;15852
"351560 Fernando Prestes";5724;5724
"351550 Fernandópolis";67242;67242
"351565 Fernão";1634;1634
"351570 Ferraz de Vasconcelos";178044;178044
"351580 Flora Rica";1733;1733
"351590 Floreal";3058;3058
"351600 Flórida Paulista";13550;13550
