"350010 Adamantina";34852;34852
"350020 Adolfo";3655;3655
"350030 Aguaí";33472;33472
"350040 Águas da Prata";7854;7854
"350050 Águas de Lindóia";17890;17890
"350055 Águas de Santa Bárbara";5804;5804
"350060 Águas de São Pedro";2861;2861
"350070 Agudos";35754;35754
"350075 Alambari";5141;5141
"350080 Alfredo Marcondes";4026;4026
"350090 Altair";3956;3956
"350100 Altinópolis";16093;16093
"350110 Alto Alegre";4213;4213
"350115 Alumínio";17491;17491
"350120 Álvares Florence";3979;3979
"350130 Álvares Machado";24304;24304
"350140 Álvaro de Carvalho";4839;4839
"350150 Alvinlândia";3106;3106
"350160 Americana";219503;219503
"350170 Américo Brasiliense";36069;36069
"350180 Américo de Campos";5889;5889
"350190 Amparo";68308;68308
"350200 Analândia";4485;4485
"350210 Andradina";57034;57034
"350220 Angatuba";23141;23141
"350230 Anhembi";5923;5923
"350240 Anhumas";3880;3880
"350250 Aparecida";36082;36082
"350260 Aparecida d'Oeste";4543;4543
"350270 Apiaí";25786;25786
"350275 Araçariguama";18118;18118
"350280 Araçatuba";188185;188185
"350290 Araçoiaba da Serra";28784;28784
"350300 Aramina";5343;5343
"350310 Arandu";6315;6315
"350315 Arapeí";2558;2558
"350320 Araraquara";217304;217304
"350330 Araras";123742;123742
"350335 Arco-Íris";1963;1963
"350340 Arealva";8132;8132
"350350 Areias";3817;3817
"350360 Areiópolis";10926;10926
"350370 Ariranha";8901;8901
"350380 Artur Nogueira";46488;46488
"350390 Arujá";78560;78560
"350395 Aspásia";1860;1860
"350400 Assis";98730;98730
"350410 Atibaia";131795;131795
"350420 Auriflama";14694;14694
"350430 Avaí";5142;5142
"350440 Avanhandava";11872;11872
"350450 Avaré";86024;86024
"350460 Bady Bassitt";15314;15314
"350470 Balbinos";4024;4024
"350480 Bálsamo";8480;8480
"350490 Bananal";10578;10578
"350500 Barão de Antonina";3238;3238
"350510 Barbosa";6860;6860
"350520 Bariri";32850;32850
"350530 Barra Bonita";36298;36298
"350535 Barra do Chapéu";5439;5439
"350540 Barra do Turvo";7931;7931
"350550 Barretos";116230;116230
"350560 Barrinha";29739;29739
"350570 Barueri";250917;250917
"350580 Bastos";21055;21055
"350590 Batatais";58664;58664
"350600 Bauru";356845;356845
"350610 Bebedouro";77339;77339
"350620 Bento de Abreu";2779;2779
"350630 Bernardino de Campos";11108;11108
"350635 Bertioga";50635;50635
"350640 Bilac";7346;7346
"350650 Birigui";113300;113300
"350660 Biritiba-Mirim";29788;29788
"350670 Boa Esperança do Sul";14154;14154
"350680 Bocaina";11313;11313
"350690 Bofete";10108;10108
"350700 Boituva";51004;51004
"350710 Bom Jesus dos Perdões";20867;20867
"350715 Bom Sucesso de Itararé";3709;3709
"350720 Borá";831;831
"350730 Boracéia";4445;4445
"350740 Borborema";15088;15088
"350745 Borebi";2394;2394
"350750 Botucatu";132868;132868
"350760 Bragança Paulista";153110;153110
"350770 Braúna";5230;5230
"350775 Brejo Alegre";2674;2674
"350780 Brodowski";22096;22096
"350790 Brotas";22472;22472
"350800 Buri";19210;19210
"350810 Buritama";16025;16025
"350820 Buritizal";4209;4209
"350830 Cabrália Paulista";4473;4473
"350840 Cabreúva";43614;43614
"350850 Caçapava";88086;88086
"350860 Cachoeira Paulista";31259;31259
"350870 Caconde";19116;19116
"350880 Cafelândia";17184;17184
"350890 Caiabu";4196;4196
"350900 Caieiras";90502;90502
"350910 Caiuá";5267;5267
"350920 Cajamar";67234;67234
"350925 Cajati";29161;29161
"350930 Cajobi";10117;10117
"350940 Cajuru";24310;24310
"350945 Campina do Monte Alegre";5768;5768
"350950 Campinas";1124506;1124506
"350960 Campo Limpo Paulista";77234;77234
"350970 Campos do Jordão";49553;49553
"350980 Campos Novos Paulista";4709;4709
"350990 Cananéia";12592;12592
"350995 Canas";4586;4586
"351000 Cândido Mota";30847;30847
"351010 Cândido Rodrigues";2754;2754
"351015 Canitar";4580;4580
"351020 Capão Bonito";47535;47535
"351030 Capela do Alto";18353;18353
"351040 Capivari";50677;50677
"351050 Caraguatatuba";105827;105827
"351060 Carapicuíba";383020;383020
"351070 Cardoso";12182;12182
"351080 Casa Branca";29301;29301
"351090 Cássia dos Coqueiros";2693;2693
"351100 Castilho";18818;18818
"351110 Catanduva";116864;116864
"351120 Catiguá";7395;7395
"351130 Cedral";8326;8326
"351140 Cerqueira César";18274;18274
"351150 Cerquilho";41707;41707
"351160 Cesário Lange";16245;16245
"351170 Charqueada";15724;15724
"355720 Chavantes";12475;12475
"351190 Clementina";7426;7426
"351200 Colina";17962;17962
"351210 Colômbia";6180;6180
"351220 Conchal";26221;26221
"351230 Conchas";16904;16904
