"350010 Adamantina";34391;34391
"350020 Adolfo";3728;3728
"350030 Aguaí";30196;30196
"350040 Águas da Prata";7453;7453
"350050 Águas de Lindóia";16895;16895
"350055 Águas de Santa Bárbara";5475;5475
"350060 Águas de São Pedro";2206;2206
"350070 Agudos";33941;33941
"350075 Alambari";4153;4153
"350080 Alfredo Marcondes";3850;3850
"350090 Altair";3710;3710
"350100 Altinópolis";15890;15890
"350110 Alto Alegre";4308;4308
"350115 Alumínio";16149;16149
"350120 Álvares Florence";4276;4276
"350130 Álvares Machado";23484;23484
"350140 Álvaro de Carvalho";4389;4389
"350150 Alvinlândia";2959;2959
"350160 Americana";196379;196379
"350170 Américo Brasiliense";31046;31046
"350180 Américo de Campos";5764;5764
"350190 Amparo";63664;63664
"350200 Analândia";3906;3906
"350210 Andradina";56524;56524
"350220 Angatuba";20737;20737
"350230 Anhembi";5020;5020
"350240 Anhumas";3602;3602
"350250 Aparecida";35764;35764
"350260 Aparecida d'Oeste";4888;4888
"350270 Apiaí";27139;27139
"350275 Araçariguama";13418;13418
"350280 Araçatuba";177418;177418
"350290 Araçoiaba da Serra";22811;22811
"350300 Aramina";5007;5007
"350310 Arandu";6228;6228
"350315 Arapeí";2638;2638
"350320 Araraquara";195628;195628
"350330 Araras";111605;111605
"350335 Arco-Íris";2134;2134
"350340 Arealva";7617;7617
"350350 Areias";3718;3718
"350360 Areiópolis";10635;10635
"350370 Ariranha";8015;8015
"350380 Artur Nogueira";37638;37638
"350390 Arujá";65891;65891
"350395 Aspásia";1888;1888
"350400 Assis";91979;91979
"350410 Atibaia";119099;119099
"350420 Auriflama";14065;14065
"350430 Avaí";4827;4827
"350440 Avanhandava";9876;9876
"350450 Avaré";80462;80462
"350460 Bady Bassitt";12853;12853
"350470 Balbinos";2150;2150
"350480 Bálsamo";7790;7790
"350490 Bananal";10115;10115
"350500 Barão de Antonina";2969;2969
"350510 Barbosa";6230;6230
"350520 Bariri";30029;30029
"350530 Barra Bonita";36245;36245
"350535 Barra do Chapéu";5095;5095
"350540 Barra do Turvo";8172;8172
"350550 Barretos";109135;109135
"350560 Barrinha";26227;26227
"350570 Barueri";224168;224168
"350580 Bastos";21027;21027
"350590 Batatais";54132;54132
"350600 Bauru";332949;332949
"350610 Bebedouro";76659;76659
"350620 Bento de Abreu";2545;2545
"350630 Bernardino de Campos";10992;10992
"350635 Bertioga";36693;36693
"350640 Bilac";6556;6556
"350650 Birigui";101401;101401
"350660 Biritiba-Mirim";26560;26560
"350670 Boa Esperança do Sul";13232;13232
"350680 Bocaina";10144;10144
"350690 Bofete";8293;8293
"350700 Boituva";39889;39889
"350710 Bom Jesus dos Perdões";15787;15787
"350715 Bom Sucesso de Itararé";3422;3422
"350720 Borá";817;817
"350730 Boracéia";4006;4006
"350740 Borborema";13956;13956
"350745 Borebi";2100;2100
"350750 Botucatu";117289;117289
"350760 Bragança Paulista";135318;135318
"350770 Braúna";4702;4702
"350775 Brejo Alegre";2452;2452
"350780 Brodowski";18884;18884
"350790 Brotas";20242;20242
"350800 Buri";18361;18361
"350810 Buritama";14710;14710
"350820 Buritizal";3889;3889
"350830 Cabrália Paulista";4668;4668
"350840 Cabreúva";36754;36754
"350850 Caçapava";80841;80841
"350860 Cachoeira Paulista";28823;28823
"350870 Caconde";18867;18867
"350880 Cafelândia";16441;16441
"350890 Caiabu";4171;4171
"350900 Caieiras";78073;78073
"350910 Caiuá";4577;4577
"350920 Cajamar";56470;56470
