"350010 Adamantina";34576;34576
"350020 Adolfo";3699;3699
"350030 Aguaí";31513;31513
"350040 Águas da Prata";7614;7614
"350050 Águas de Lindóia";17295;17295
"350055 Águas de Santa Bárbara";5607;5607
"350060 Águas de São Pedro";2469;2469
"350070 Agudos";34670;34670
"350075 Alambari";4550;4550
"350080 Alfredo Marcondes";3921;3921
"350090 Altair";3809;3809
"350100 Altinópolis";15971;15971
"350110 Alto Alegre";4270;4270
"350115 Alumínio";16688;16688
"350120 Álvares Florence";4157;4157
"350130 Álvares Machado";23814;23814
"350140 Álvaro de Carvalho";4570;4570
"350150 Alvinlândia";3018;3018
"350160 Americana";205674;205674
"350170 Américo Brasiliense";33065;33065
"350180 Américo de Campos";5814;5814
"350190 Amparo";65531;65531
"350200 Analândia";4139;4139
"350210 Andradina";56729;56729
"350220 Angatuba";21703;21703
"350230 Anhembi";5383;5383
"350240 Anhumas";3714;3714
"350250 Aparecida";35892;35892
"350260 Aparecida d'Oeste";4749;4749
"350270 Apiaí";26595;26595
"350275 Araçariguama";15307;15307
"350280 Araçatuba";181746;181746
"350290 Araçoiaba da Serra";25212;25212
"350300 Aramina";5142;5142
"350310 Arandu";6263;6263
"350315 Arapeí";2606;2606
"350320 Araraquara";204341;204341
"350330 Araras";116483;116483
"350335 Arco-Íris";2065;2065
"350340 Arealva";7824;7824
"350350 Areias";3758;3758
"350360 Areiópolis";10752;10752
"350370 Ariranha";8371;8371
"350380 Artur Nogueira";41196;41196
"350390 Arujá";70983;70983
"350395 Aspásia";1877;1877
"350400 Assis";94692;94692
"350410 Atibaia";124202;124202
"350420 Auriflama";14318;14318
"350430 Avaí";4953;4953
"350440 Avanhandava";10678;10678
"350450 Avaré";82697;82697
"350460 Bady Bassitt";13843;13843
"350470 Balbinos";2903;2903
"350480 Bálsamo";8068;8068
"350490 Bananal";10301;10301
"350500 Barão de Antonina";3077;3077
"350510 Barbosa";6484;6484
"350520 Bariri";31163;31163
"350530 Barra Bonita";36266;36266
"350535 Barra do Chapéu";5233;5233
"350540 Barra do Turvo";8075;8075
"350550 Barretos";111987;111987
"350560 Barrinha";27639;27639
"350570 Barueri";234919;234919
"350580 Bastos";21038;21038
"350590 Batatais";55954;55954
"350600 Bauru";342554;342554
"350610 Bebedouro";76932;76932
"350620 Bento de Abreu";2639;2639
"350630 Bernardino de Campos";11039;11039
"350635 Bertioga";42297;42297
"350640 Bilac";6874;6874
"350650 Birigui";106184;106184
"350660 Biritiba-Mirim";27858;27858
"350670 Boa Esperança do Sul";13603;13603
"350680 Bocaina";10614;10614
"350690 Bofete";9023;9023
"350700 Boituva";44357;44357
"350710 Bom Jesus dos Perdões";17829;17829
"350715 Bom Sucesso de Itararé";3538;3538
"350720 Borá";822;822
"350730 Boracéia";4182;4182
"350740 Borborema";14411;14411
"350745 Borebi";2218;2218
"350750 Botucatu";123551;123551
"350760 Bragança Paulista";142469;142469
"350770 Braúna";4914;4914
"350775 Brejo Alegre";2541;2541
"350780 Brodowski";20175;20175
"350790 Brotas";21138;21138
"350800 Buri";18702;18702
"350810 Buritama";15238;15238
"350820 Buritizal";4018;4018
"350830 Cabrália Paulista";4589;4589
"350840 Cabreúva";39511;39511
"350850 Caçapava";83753;83753
"350860 Cachoeira Paulista";29802;29802
"350870 Caconde";18967;18967
"350880 Cafelândia";16740;16740
"350890 Caiabu";4181;4181
"350900 Caieiras";83069;83069
"350910 Caiuá";4855;4855
"350920 Cajamar";60796;60796
"350925 Cajati";29441;29441
"350930 Cajobi";9803;9803
"350940 Cajuru";23015;23015
"350945 Campina do Monte Alegre";5579;5579
"350950 Campinas";1067070;1067070
"350960 Campo Limpo Paulista";72145;72145
"350970 Campos do Jordão";47723;47723
"350980 Campos Novos Paulista";4525;4525
"350990 Cananéia";12576;12576
"350995 Canas";4211;4211
"351000 Cândido Mota";30446;30446
"351010 Cândido Rodrigues";2718;2718
"351015 Canitar";4151;4151
"351020 Capão Bonito";47604;47604
"351030 Capela do Alto";16762;16762
"351040 Capivari";47191;47191
"351050 Caraguatatuba";95277;95277
"351060 Carapicuíba";369960;369960
"351070 Cardoso";12041;12041
"351080 Casa Branca";28488;28488
"351090 Cássia dos Coqueiros";2792;2792
"351100 Castilho";17332;17332
"351110 Catanduva";113180;113180
"351120 Catiguá";7101;7101
"351130 Cedral";7705;7705
"351140 Cerqueira César";17099;17099
"351150 Cerquilho";36870;36870
"351160 Cesário Lange";14953;14953
"351170 Charqueada";14715;14715
"355720 Chavantes";12463;12463
"351190 Clementina";6628;6628
"351200 Colina";17564;17564
"351210 Colômbia";6137;6137
"351220 Conchal";24937;24937
"351230 Conchas";16198;16198
"351240 Cordeirópolis";20327;20327
"351250 Coroados";5068;5068
"351260 Coronel Macedo";5353;5353
"351270 Corumbataí";3946;3946
"351280 Cosmópolis";54950;54950
"351290 Cosmorama";7464;7464
"351300 Cotia";186886;186886
"351310 Cravinhos";31296;31296
"351320 Cristais Paulista";7409;7409
"351330 Cruzália";2460;2460
"351340 Cruzeiro";77740;77740
"351350 Cubatão";117946;117946
"351360 Cunha";22902;22902
"351370 Descalvado";31075;31075
"351380 Diadema";384123;384123
"351385 Dirce Reis";1709;1709
"351390 Divinolândia";11807;11807
"351400 Dobrada";7799;7799
"351410 Dois Córregos";24575;24575
"351420 Dolcinópolis";2172;2172
"351430 Dourado";8835;8835
"351440 Dracena";43365;43365
"351450 Duartina";12658;12658
"351460 Dumont";7669;7669
"351470 Echaporã";6675;6675
"351480 Eldorado";14837;14837
"351490 Elias Fausto";15483;15483
"351492 Elisiário";2999;2999
"351495 Embaúba";2507;2507
"351500 Embu das Artes";234349;234349
"351510 Embu-Guaçu";62229;62229
"351512 Emilianópolis";3052;3052
"351515 Engenheiro Coelho";14002;14002
"351518 Espírito Santo do Pinhal";42478;42478
"351519 Espírito Santo do Turvo";4143;4143
"355730 Estiva Gerbi";9863;9863
"351520 Estrela d'Oeste";8443;8443
"351530 Estrela do Norte";2716;2716
"351535 Euclides da Cunha Paulista";10074;10074
"351540 Fartura";15608;15608
"351560 Fernando Prestes";5642;5642
"351550 Fernandópolis";65259;65259
"351565 Fernão";1555;1555
"351570 Ferraz de Vasconcelos";163018;163018
"351580 Flora Rica";1958;1958
