"350020 Adolfo";1013
"350030 Aguaí";3164
"350070 Agudos";2707
"350080 Alfredo Marcondes";1320
"350090 Altair";970
"350100 Altinópolis";5386
"350110 Alto Alegre";1352
"350130 Álvares Machado";5373
"350140 Álvaro de Carvalho";915
"350150 Alvinlândia";858
"350160 Americana";1157
"350190 Amparo";15478
"350210 Andradina";13118
"350220 Angatuba";1549
"350240 Anhumas";1071
"350250 Aparecida";2564
"350260 Aparecida d'Oeste";1596
"350270 Apiaí";5961
"350280 Araçatuba";32955
"350290 Araçoiaba da Serra";2483
"350300 Aramina";825
"350310 Arandu";1818
"350315 Arapeí";786
"350320 Araraquara";11709
"350330 Araras";14893
"350335 Arco-Íris";620
"350350 Areias";956
"350360 Areiópolis";2763
"350380 Artur Nogueira";7857
"350400 Assis";8169
"350410 Atibaia";6037
"350420 Auriflama";3711
"350440 Avanhandava";1862
"350450 Avaré";3603
"350490 Bananal";1845
"350500 Barão de Antonina";848
"350510 Barbosa";841
"350520 Bariri";1944
"350530 Barra Bonita";961
"350535 Barra do Chapéu";1427
"350540 Barra do Turvo";2105
"350550 Barretos";1934
"350560 Barrinha";1523
"350570 Barueri";8288
"350580 Bastos";5635
"350590 Batatais";12553
"350600 Bauru";5972
"350610 Bebedouro";9733
"350620 Bento de Abreu";733
"350630 Bernardino de Campos";2191
"350640 Bilac";2032
"350650 Birigui";9241
"350660 Biritiba-Mirim";1631
"350715 Bom Sucesso de Itararé";957
"350730 Boracéia";844
"350740 Borborema";1091
"350745 Borebi";552
"350750 Botucatu";5679
"350760 Bragança Paulista";7324
"350770 Braúna";1428
"350775 Brejo Alegre";748
"350780 Brodowski";876
"350790 Brotas";615
"350800 Buri";3886
"350810 Buritama";4125
"350820 Buritizal";815
"350850 Caçapava";3890
"350860 Cachoeira Paulista";4733
"350880 Cafelândia";484
"350890 Caiabu";1307
"350910 Caiuá";1277
"350920 Cajamar";7791
"350925 Cajati";2271
"350930 Cajobi";845
"350940 Cajuru";5007
"350945 Campina do Monte Alegre";1672
"350950 Campinas";8674
"350960 Campo Limpo Paulista";3302
"350970 Campos do Jordão";3762
"350980 Campos Novos Paulista";1372
"350990 Cananéia";2376
"350995 Canas";1016
"351000 Cândido Mota";849
"351015 Canitar";1140
"351020 Capão Bonito";11540
"351040 Capivari";2234
"351050 Caraguatatuba";21599
"351080 Casa Branca";1360
"351090 Cássia dos Coqueiros";830
"351100 Castilho";4728
"351110 Catanduva";12703
"351140 Cerqueira César";1490
"351150 Cerquilho";9910
"351160 Cesário Lange";1366
"355720 Chavantes";657
"351190 Clementina";1750
"351200 Colina";4388
"351210 Colômbia";912
"351220 Conchal";3840
"351230 Conchas";4168
"351240 Cordeirópolis";3263
"351250 Coroados";1429
"351260 Coronel Macedo";607
"351280 Cosmópolis";4898
"351300 Cotia";6331
"351310 Cravinhos";845
"351320 Cristais Paulista";617
"351330 Cruzália";784
"351340 Cruzeiro";2653
"351350 Cubatão";10530
"351360 Cunha";2892
"351370 Descalvado";2095
"351380 Diadema";32230
"351385 Dirce Reis";543
"351410 Dois Córregos";2203
"351420 Dolcinópolis";745
"351430 Dourado";2422
"351440 Dracena";2606
"351450 Duartina";3769
"351460 Dumont";1798
"351470 Echaporã";1945
"351480 Eldorado";1524
"351490 Elias Fausto";4114
"351492 Elisiário";847
"351495 Embaúba";851
"351500 Embu das Artes";9131
"351510 Embu-Guaçu";2549
"351512 Emilianópolis";944
"351515 Engenheiro Coelho";1586
"351518 Espírito Santo do Pinhal";8608
"351519 Espírito Santo do Turvo";1102
"355730 Estiva Gerbi";1142
"351530 Estrela do Norte";739
"351535 Euclides da Cunha Paulista";2804
"351540 Fartura";926
"351550 Fernandópolis";3970
"351565 Fernão";479
"351570 Ferraz de Vasconcelos";9402
"351580 Flora Rica";652
"351600 Flórida Paulista";3616
"351610 Florínia";773
"351620 Franca";4653
"351630 Francisco Morato";32030
"351640 Franco da Rocha";5230
