"350130 Álvares Machado";455
"350140 Álvaro de Carvalho";749
"350150 Alvinlândia";724
"350190 Amparo";2473
"350200 Analândia";640
"350220 Angatuba";755
"350240 Anhumas";642
"350270 Apiaí";4273
"350290 Araçoiaba da Serra";1750
"350310 Arandu";1632
"350335 Arco-Íris";103
"350380 Artur Nogueira";1205
"350400 Assis";7232
"350410 Atibaia";1375
"350490 Bananal";1055
"350535 Barra do Chapéu";950
"350540 Barra do Turvo";389
"350560 Barrinha";848
"350590 Batatais";611
"350635 Bertioga";1121
"350640 Bilac";711
"350650 Birigui";4859
"350715 Bom Sucesso de Itararé";878
"350780 Brodowski";981
"350800 Buri";2115
"350820 Buritizal";24
"350850 Caçapava";448
"350860 Cachoeira Paulista";1400
"350910 Caiuá";932
"350925 Cajati";589
"350940 Cajuru";630
"350950 Campinas";740
"350970 Campos do Jordão";249
"351000 Cândido Mota";847
"351020 Capão Bonito";8152
"351050 Caraguatatuba";14857
"351060 Carapicuíba";316
"351090 Cássia dos Coqueiros";754
"351110 Catanduva";1041
"351150 Cerquilho";422
"355720 Chavantes";646
"351190 Clementina";1181
"351280 Cosmópolis";1363
"351320 Cristais Paulista";419
"351350 Cubatão";1261
"351370 Descalvado";908
"351380 Diadema";3577
"351420 Dolcinópolis";205
"351470 Echaporã";1419
"351480 Eldorado";68
"351490 Elias Fausto";2498
"351492 Elisiário";494
"351500 Embu das Artes";4997
"351512 Emilianópolis";699
"351515 Engenheiro Coelho";3243
"351518 Espírito Santo do Pinhal";178
"351535 Euclides da Cunha Paulista";2311
"351565 Fernão";411
"351580 Flora Rica";472
"351600 Flórida Paulista";682
"351620 Franca";278
"351650 Gabriel Monteiro";792
"351710 Glicério";802
"351760 Guapiara";3242
"351770 Guará";1425
"351880 Guarulhos";1148
"351920 Iacri";590
"351990 Iepê";1110
"352030 Iguape";597
"352042 Ilha Comprida";274
"352040 Ilhabela";5061
"352120 Iporanga";589
"352130 Ipuã";264
"352160 Irapuru";968
"352170 Itaberá";2714
"352210 Itanhaém";3354
"352215 Itaóca";845
"352220 Itapecerica da Serra";2831
"352240 Itapeva";14122
"352265 Itapirapuã Paulista";895
"352290 Itapuí";2456
"352320 Itararé";10427
"352330 Itariri";413
"352370 Itirapuã";452
"352380 Itobi";1376
"352390 Itu";6799
"352460 Jacupiranga";210
"352490 Jambeiro";36
"352540 Jeriquara";343
"352580 Júlio Mesquita";999
"352600 Junqueirópolis";1153
"352610 Juquiá";2152
"352660 Lavrinhas";109
"352670 Leme";5338
"352680 Lençóis Paulista";1630
"352720 Lorena";550
"352725 Lourdes";1371
"352740 Lucélia";1837
"352780 Lupércio";865
"352800 Macatuba";391
"352850 Mairiporã";1511
"352870 Marabá Paulista";759
