"350010 Adamantina";3317
"350020 Adolfo";1106
"350030 Aguaí";2949
"350050 Águas de Lindóia";1264
"350070 Agudos";3060
"350080 Alfredo Marcondes";1325
"350090 Altair";1086
"350100 Altinópolis";5472
"350110 Alto Alegre";1406
"350130 Álvares Machado";5933
"350140 Álvaro de Carvalho";1045
"350150 Alvinlândia";820
"350160 Americana";2233
"350190 Amparo";16414
"350210 Andradina";13209
"350220 Angatuba";1624
"350240 Anhumas";1142
"350250 Aparecida";3496
"350260 Aparecida d'Oeste";1582
"350270 Apiaí";5991
"350280 Araçatuba";33900
"350290 Araçoiaba da Serra";2483
"350300 Aramina";825
"350310 Arandu";2504
"350315 Arapeí";815
"350320 Araraquara";13178
"350330 Araras";16318
"350335 Arco-Íris";642
"350340 Arealva";1162
"350350 Areias";1027
"350360 Areiópolis";3552
"350380 Artur Nogueira";8098
"350400 Assis";7983
"350410 Atibaia";8661
"350440 Avanhandava";2684
"350450 Avaré";4068
"350490 Bananal";2034
"350500 Barão de Antonina";903
"350510 Barbosa";780
"350520 Bariri";2322
"350530 Barra Bonita";930
"350535 Barra do Chapéu";1461
"350540 Barra do Turvo";2372
"350550 Barretos";7669
"350560 Barrinha";4131
"350570 Barueri";64
"350580 Bastos";5772
"350590 Batatais";13291
"350600 Bauru";7907
"350610 Bebedouro";9670
"350620 Bento de Abreu";747
"350630 Bernardino de Campos";2179
"350650 Birigui";3394
"350660 Biritiba-Mirim";1810
"350670 Boa Esperança do Sul";1038
"350680 Bocaina";694
"350715 Bom Sucesso de Itararé";1030
"350730 Boracéia";1239
"350740 Borborema";4608
"350745 Borebi";596
"350750 Botucatu";7890
"350760 Bragança Paulista";16834
"350770 Braúna";1485
"350775 Brejo Alegre";754
"350780 Brodowski";300
"350790 Brotas";685
"350800 Buri";3785
"350810 Buritama";4116
"350820 Buritizal";908
"350850 Caçapava";4852
"350860 Cachoeira Paulista";4776
"350880 Cafelândia";1523
"350890 Caiabu";1311
"350910 Caiuá";1871
"350920 Cajamar";8316
"350925 Cajati";2345
"350930 Cajobi";1683
"350940 Cajuru";5344
"350945 Campina do Monte Alegre";1615
"350950 Campinas";119895
"350960 Campo Limpo Paulista";3431
"350970 Campos do Jordão";13231
"350980 Campos Novos Paulista";1372
"350990 Cananéia";2607
"350995 Canas";1050
"351000 Cândido Mota";853
"351015 Canitar";1277
"351020 Capão Bonito";11457
"351040 Capivari";2205
"351050 Caraguatatuba";23483
"351080 Casa Branca";2887
"351090 Cássia dos Coqueiros";836
"351100 Castilho";5045
"351110 Catanduva";16822
"351140 Cerqueira César";1515
"351150 Cerquilho";10915
"351160 Cesário Lange";1322
"355720 Chavantes";584
"351190 Clementina";1788
"351200 Colina";4422
"351210 Colômbia";1474
"351220 Conchal";5643
"351230 Conchas";4495
"351240 Cordeirópolis";3379
"351250 Coroados";1485
"351260 Coronel Macedo";1029
"351280 Cosmópolis";4743
"351300 Cotia";7094
"351310 Cravinhos";777
"351320 Cristais Paulista";599
"351330 Cruzália";817
"351340 Cruzeiro";3589
"351350 Cubatão";11183
"351360 Cunha";3050
"351370 Descalvado";5642
"351380 Diadema";64614
"351385 Dirce Reis";575
"351410 Dois Córregos";3650
"351420 Dolcinópolis";842
"351430 Dourado";2535
"351440 Dracena";2629
"351450 Duartina";3776
"351460 Dumont";1109
"351470 Echaporã";1965
"351480 Eldorado";1520
"351490 Elias Fausto";4011
"351492 Elisiário";875
"351495 Embaúba";728
