"350010 Adamantina";3335
"350020 Adolfo";1346
"350050 Águas de Lindóia";1546
"350070 Agudos";3423
"350075 Alambari";1595
"350080 Alfredo Marcondes";1511
"350090 Altair";1050
"350100 Altinópolis";4877
"350110 Alto Alegre";1476
"350120 Álvares Florence";1452
"350130 Álvares Machado";6545
"350140 Álvaro de Carvalho";282
"350150 Alvinlândia";554
"350160 Americana";10263
"350180 Américo de Campos";1848
"350190 Amparo";18436
"350210 Andradina";15061
"350220 Angatuba";1996
"350230 Anhembi";1377
"350240 Anhumas";1227
"350250 Aparecida";5435
"350260 Aparecida d'Oeste";1699
"350270 Apiaí";5948
"350280 Araçatuba";38058
"350290 Araçoiaba da Serra";2483
"350300 Aramina";1617
"350310 Arandu";1608
"350315 Arapeí";828
"350320 Araraquara";19845
"350330 Araras";16849
"350335 Arco-Íris";623
"350340 Arealva";2585
"350350 Areias";1112
"350360 Areiópolis";3036
"350370 Ariranha";1080
"350380 Artur Nogueira";10555
"350400 Assis";10237
"350410 Atibaia";10529
"350420 Auriflama";1208
"350430 Avaí";1017
"350440 Avanhandava";2855
"350450 Avaré";5482
"350460 Bady Bassitt";2646
"350470 Balbinos";432
"350490 Bananal";2317
"350500 Barão de Antonina";997
"350520 Bariri";4516
"350530 Barra Bonita";1020
"350535 Barra do Chapéu";1559
"350540 Barra do Turvo";2210
"350550 Barretos";4162
"350560 Barrinha";3105
"350580 Bastos";6187
"350590 Batatais";8566
"350600 Bauru";9326
"350610 Bebedouro";10011
"350620 Bento de Abreu";797
"350630 Bernardino de Campos";1922
"350640 Bilac";2065
"350650 Birigui";25836
"350660 Biritiba-Mirim";3449
"350670 Boa Esperança do Sul";2060
"350680 Bocaina";2696
"350715 Bom Sucesso de Itararé";1070
"350720 Borá";269
"350730 Boracéia";1502
"350740 Borborema";4928
"350745 Borebi";715
"350760 Bragança Paulista";21917
"350770 Braúna";1643
"350775 Brejo Alegre";813
"350780 Brodowski";2485
"350790 Brotas";908
"350800 Buri";4500
"350810 Buritama";41
"350820 Buritizal";1048
"350830 Cabrália Paulista";351
"350850 Caçapava";14172
"350860 Cachoeira Paulista";7934
"350880 Cafelândia";2247
"350890 Caiabu";1320
"350910 Caiuá";1863
"350920 Cajamar";11095
"350925 Cajati";3710
"350930 Cajobi";2125
"350940 Cajuru";5901
"350945 Campina do Monte Alegre";1759
"350950 Campinas";143549
"350970 Campos do Jordão";12534
"350980 Campos Novos Paulista";1379
"350990 Cananéia";3939
"350995 Canas";1383
"351000 Cândido Mota";1079
"351010 Cândido Rodrigues";910
"351015 Canitar";1010
"351020 Capão Bonito";10473
"351040 Capivari";3491
"351050 Caraguatatuba";26177
"351070 Cardoso";1888
"351080 Casa Branca";2815
"351090 Cássia dos Coqueiros";838
"351100 Castilho";6581
"351110 Catanduva";19739
"351120 Catiguá";1006
"351140 Cerqueira César";3176
"351150 Cerquilho";4066
"351160 Cesário Lange";1809
"355720 Chavantes";567
"351190 Clementina";2228
"351200 Colina";4917
"351210 Colômbia";1037
"351220 Conchal";6831
"351230 Conchas";3752
"351240 Cordeirópolis";4562
"351250 Coroados";1623
"351260 Coronel Macedo";1197
"351280 Cosmópolis";6889
"351290 Cosmorama";620
"351300 Cotia";11046
"351310 Cravinhos";747
"351320 Cristais Paulista";754
"351330 Cruzália";792
"351340 Cruzeiro";4580
"351350 Cubatão";17906
"351360 Cunha";4129
"351370 Descalvado";7515
"351380 Diadema";149238
"351385 Dirce Reis";605
"351390 Divinolândia";870
"351410 Dois Córregos";4318
"351420 Dolcinópolis";854
"351430 Dourado";3209
"351440 Dracena";2021
"351450 Duartina";4190
"351470 Echaporã";2081
"351480 Eldorado";1333
"351490 Elias Fausto";4528
"351492 Elisiário";949
"351495 Embaúba";797
"351500 Embu das Artes";20014
"351510 Embu-Guaçu";3662
"351512 Emilianópolis";1028
"351515 Engenheiro Coelho";3165
"351518 Espírito Santo do Pinhal";8717
"351519 Espírito Santo do Turvo";1374
"355730 Estiva Gerbi";3092
"351530 Estrela do Norte";848
"351535 Euclides da Cunha Paulista";2966
"351540 Fartura";934
"351560 Fernando Prestes";1838
"351550 Fernandópolis";13638
"351565 Fernão";531
"351580 Flora Rica";622
"351600 Flórida Paulista";3465
"351610 Florínia";831
"351620 Franca";4149
"351630 Francisco Morato";33824
"351640 Franco da Rocha";5844
"351650 Gabriel Monteiro";989
"351660 Gália";2412
"351670 Garça";13435
"351685 Gavião Peixoto";1056
"351700 Getulina";924
"351710 Glicério";1467
"351720 Guaiçara";639
"351730 Guaimbê";1570
"351740 Guaíra";10991
"351750 Guapiaçu";3268
"351760 Guapiara";5488
"351770 Guará";5061
"351780 Guaraçaí";2843
"351790 Guaraci";2783
"351800 Guarani d'Oeste";698
"351810 Guarantã";1673
"351820 Guararapes";5425
"351840 Guaratinguetá";8007
"351850 Guareí";3879
"351860 Guariba";852
"351870 Guarujá";12942
"351880 Guarulhos";145572
"351890 Guzolândia";1313
"351900 Herculândia";2049
"351907 Hortolândia";10593
"351910 Iacanga";3050
"351920 Iacri";1653
"351925 Iaras";97
"351930 Ibaté";5906
"351940 Ibirá";1509
"351950 Ibirarema";1938
"351960 Ibitinga";3471
"351980 Icém";716
"351990 Iepê";2587
"352000 Igaraçu do Tietê";1954
"352010 Igarapava";1366
"352020 Igaratá";3012
"352030 Iguape";5726
"352042 Ilha Comprida";2956
"352044 Ilha Solteira";4820
"352040 Ilhabela";9193
"352050 Indaiatuba";7533
"352060 Indiana";1696
"352070 Indiaporã";1345
"352080 Inúbia Paulista";1159
"352090 Ipaussu";2967
"352100 Iperó";2417
"352110 Ipeúna";1018
"352120 Iporanga";1244
"352130 Ipuã";3614
"352140 Iracemápolis";5321
"352150 Irapuã";1493
"352160 Irapuru";1887
"352170 Itaberá";3463
"352180 Itaí";2571
"352190 Itajobi";4775
"352200 Itaju";996
"352210 Itanhaém";23631
"352215 Itaóca";936
"352220 Itapecerica da Serra";11509
"352230 Itapetininga";9751
"352240 Itapeva";15799
"352250 Itapevi";16474
"352260 Itapira";14694
"352265 Itapirapuã Paulista";1190
"352270 Itápolis";740
"352280 Itaporanga";4768
"352290 Itapuí";3627
"352300 Itapura";1454
"352310 Itaquaquecetuba";10758
"352320 Itararé";10478
"352330 Itariri";3350
"352340 Itatiba";15035
"352350 Itatinga";1213
"352360 Itirapina";2243
"352370 Itirapuã";1330
"352390 Itu";253
"352400 Itupeva";5181
"352410 Ituverava";8601
"352430 Jaboticabal";3783
"352440 Jacareí";13907
"352450 Jaci";1651
"352460 Jacupiranga";3193
"352480 Jales";13068
"352490 Jambeiro";1642
"352500 Jandira";28982
"352510 Jardinópolis";3821
"352530 Jaú";11139
"352540 Jeriquara";897
"352560 João Ramalho";1324
"352570 José Bonifácio";2260
