 Sistema de Informação de Atenção Básica - Cadastramento Familiar - São Paulo
Nº Famílias por Município
Período:Dez/2005
"Município";"Nº_Famílias"
"350010 Adamantina";3279
"350020 Adolfo";1009
"350030 Aguaí";2258
"350070 Agudos";2943
"350080 Alfredo Marcondes";1337
"350090 Altair";1062
"350100 Altinópolis";5432
"350110 Alto Alegre";1344
"350130 Álvares Machado";5629
"350140 Álvaro de Carvalho";1021
"350150 Alvinlândia";811
"350160 Americana";1140
"350190 Amparo";15333
"350210 Andradina";13049
"350220 Angatuba";1519
"350240 Anhumas";1099
"350250 Aparecida";2564
"350260 Aparecida d'Oeste";1597
"350270 Apiaí";5982
"350280 Araçatuba";33183
"350290 Araçoiaba da Serra";2483
"350300 Aramina";828
"350310 Arandu";1529
"350315 Arapeí";814
"350320 Araraquara";12474
"350330 Araras";15421
"350335 Arco-Íris";644
"350350 Areias";1007
"350360 Areiópolis";2837
"350380 Artur Nogueira";7973
"350400 Assis";8710
"350410 Atibaia";8620
"350420 Auriflama";3711
"350440 Avanhandava";2639
"350450 Avaré";3828
"350490 Bananal";1999
"350500 Barão de Antonina";863
"350510 Barbosa";793
"350520 Bariri";2340
"350530 Barra Bonita";918
"350535 Barra do Chapéu";1422
"350540 Barra do Turvo";1958
"350550 Barretos";4388
"350560 Barrinha";2653
"350570 Barueri";7328
"350580 Bastos";5618
"350590 Batatais";12513
"350600 Bauru";5402
"350610 Bebedouro";9767
"350620 Bento de Abreu";735
"350630 Bernardino de Campos";2206
"350640 Bilac";1946
"350650 Birigui";8527
"350660 Biritiba-Mirim";1774
"350715 Bom Sucesso de Itararé";1010
"350730 Boracéia";1208
"350740 Borborema";3741
"350745 Borebi";591
"350750 Botucatu";5883
"350760 Bragança Paulista";9458
"350770 Braúna";1471
"350775 Brejo Alegre";738
"350780 Brodowski";305
"350790 Brotas";645
"350800 Buri";3841
"350810 Buritama";4124
"350820 Buritizal";898
"350850 Caçapava";4801
"350860 Cachoeira Paulista";4788
"350880 Cafelândia";1214
"350890 Caiabu";1280
"350910 Caiuá";1581
"350920 Cajamar";8085
"350925 Cajati";2353
"350930 Cajobi";921
"350940 Cajuru";4994
"350945 Campina do Monte Alegre";1614
"350950 Campinas";65310
"350960 Campo Limpo Paulista";3433
"350970 Campos do Jordão";10796
"350980 Campos Novos Paulista";1372
"350990 Cananéia";2452
"350995 Canas";1043
"351000 Cândido Mota";831
"351015 Canitar";1263
"351020 Capão Bonito";11522
"351040 Capivari";2246
"351050 Caraguatatuba";20785
"351080 Casa Branca";2877
"351090 Cássia dos Coqueiros";848
"351100 Castilho";4762
"351110 Catanduva";13591
"351140 Cerqueira César";1622
"351150 Cerquilho";10426
"351160 Cesário Lange";1324
"355720 Chavantes";568
"351190 Clementina";1742
"351200 Colina";4446
"351210 Colômbia";960
"351220 Conchal";3785
"351230 Conchas";4329
"351240 Cordeirópolis";3332
"351250 Coroados";1423
"351260 Coronel Macedo";958
"351280 Cosmópolis";4580
"351300 Cotia";7075
"351310 Cravinhos";768
"351320 Cristais Paulista";618
"351330 Cruzália";808
"351340 Cruzeiro";2754
"351350 Cubatão";11835
"351360 Cunha";3134
"351370 Descalvado";2955
"351380 Diadema";41613
"351385 Dirce Reis";549
"351410 Dois Córregos";2296
"351420 Dolcinópolis";817
"351430 Dourado";2413
"351440 Dracena";2652
"351450 Duartina";3832
"351460 Dumont";1284
"351470 Echaporã";1923
"351480 Eldorado";1500
"351490 Elias Fausto";4112
"351492 Elisiário";847
"351495 Embaúba";639
"351500 Embu das Artes";9977
"351510 Embu-Guaçu";3126
"351512 Emilianópolis";973
"351515 Engenheiro Coelho";2395
"351518 Espírito Santo do Pinhal";8487
"351519 Espírito Santo do Turvo";1147
"355730 Estiva Gerbi";1166
"351530 Estrela do Norte";775
"351535 Euclides da Cunha Paulista";2854
"351540 Fartura";939
"351550 Fernandópolis";4106
"351565 Fernão";477
