 Sistema de Informação de Atenção Básica - Cadastramento Familiar - São Paulo
Nº Famílias por Município
Período:Dez/2009
"Município";"Nº_Famílias"
"352420 Jaborandi";2031
"352430 Jaboticabal";636
"352440 Jacareí";13174
"352450 Jaci";1599
"352460 Jacupiranga";3360
"352480 Jales";11904
"352490 Jambeiro";1639
"352500 Jandira";25978
"352510 Jardinópolis";4097
"352530 Jaú";4064
"352540 Jeriquara";877
"352560 João Ramalho";1175
"352570 José Bonifácio";1683
"352580 Júlio Mesquita";1341
"352590 Jundiaí";32327
"352600 Junqueirópolis";5923
"352610 Juquiá";2991
"352620 Juquitiba";6254
"352630 Lagoinha";1177
"352650 Lavínia";1747
"352660 Lavrinhas";1811
"352670 Leme";11278
"352680 Lençóis Paulista";17525
"352690 Limeira";8857
"352700 Lindóia";2413
"352710 Lins";17681
"352720 Lorena";7582
"352725 Lourdes";669
"352740 Lucélia";5232
"352760 Luís Antônio";2999
"352770 Luiziânia";1379
"352780 Lupércio";1317
"352790 Lutécia";1317
"352800 Macatuba";4613
"352820 Macedônia";1176
"352840 Mairinque";5174
"352850 Mairiporã";6950
"352870 Marabá Paulista";1271
"352900 Marília";48221
"352910 Marinópolis";687
"352920 Martinópolis";4733
"352930 Matão";5743
"352940 Mauá";59908
"352960 Meridiano";1222
"352965 Mesópolis";643
"352970 Miguelópolis";3568
"352980 Mineiros do Tietê";987
"353000 Mira Estrela";910
"352990 Miracatu";2122
"353010 Mirandópolis";6986
"353020 Mirante do Paranapanema";4867
"353030 Mirassol";2575
"353050 Mococa";6770
"353060 Mogi das Cruzes";6145
"353070 Mogi Guaçu";39441
"353080 Mogi Mirim";16526
"353090 Mombuca";898
"353100 Monções";709
"353110 Mongaguá";9107
"353120 Monte Alegre do Sul";2232
"353130 Monte Alto";3846
"353140 Monte Aprazível";1818
"353160 Monte Castelo";1407
"353180 Monte Mor";17753
"353170 Monteiro Lobato";1238
"353190 Morro Agudo";5539
"353205 Motuca";1333
"353210 Murutinga do Sul";1463
"353215 Nantes";812
"353220 Narandiba";1643
"353230 Natividade da Serra";678
"353250 Neves Paulista";2195
"353260 Nhandeara";2247
"353270 Nipoã";1371
"353280 Nova Aliança";1960
"353282 Nova Campina";2296
"353284 Nova Canaã Paulista";729
"353286 Nova Castilho";365
"353290 Nova Europa";2023
"353300 Nova Granada";900
"353310 Nova Guataporanga";697
"353320 Nova Independência";965
"353330 Nova Luzitânia";1025
"353360 Nuporanga";1971
"353400 Onda Verde";988
"353410 Oriente";1927
"353430 Orlândia";2662
"353440 Osasco";8221
"353450 Oscar Bressane";857
"353460 Osvaldo Cruz";6190
"353470 Ourinhos";12240
"353480 Ouro Verde";2451
"353475 Ouroeste";2281
"353490 Pacaembu";3014
"353500 Palestina";1264
"353530 Palmital";3215
"353540 Panorama";2062
"353550 Paraguaçu Paulista";6396
"353560 Paraibuna";4925
"353580 Paranapanema";2211
"353590 Paranapuã";700
"353600 Parapuã";2962
"353620 Pariquera-Açu";5369
"353625 Parisi";680
"353630 Patrocínio Paulista";3556
"353640 Paulicéia";1992
"353670 Pederneiras";1159
"353690 Pedranópolis";862
"353700 Pedregulho";677
"353710 Pedreira";5717
"353715 Pedrinhas Paulista";232
"353720 Pedro de Toledo";2670
"353730 Penápolis";14522
"353740 Pereira Barreto";6223
"353750 Pereiras";2462
"353760 Peruíbe";11319
"353770 Piacatu";1726
"353780 Piedade";1319
"353790 Pilar do Sul";1548
"353800 Pindamonhangaba";15696
"353830 Piquerobi";1174
"353850 Piquete";3661
"353870 Piracicaba";29738
"353880 Piraju";16478
"353890 Pirajuí";2658
"353900 Pirangi";756
"353910 Pirapora do Bom Jesus";1400
"353920 Pirapozinho";6960
"353930 Pirassununga";13317
"353950 Pitangueiras";10103
"353960 Planalto";1434
"353970 Platina";979
"353980 Poá";8254
"354000 Pompéia";5148
