 Sistema de Informação de Atenção Básica - Cadastramento Familiar - São Paulo
Nº Famílias por Município
Período:Dez/2015
"Município";"Nº_Famílias"
"353390 Olímpia";3542
"353410 Oriente";1928
"353430 Orlândia";5924
"353440 Osasco";31690
"353450 Oscar Bressane";964
"353460 Osvaldo Cruz";7225
"353470 Ourinhos";9543
"353480 Ouro Verde";2629
"353475 Ouroeste";3084
"353490 Pacaembu";2887
"353500 Palestina";1257
"353520 Palmeira d'Oeste";2159
"353530 Palmital";3576
"353540 Panorama";3264
"353550 Paraguaçu Paulista";6748
"353560 Paraibuna";5215
"353570 Paraíso";1826
"353580 Paranapanema";2780
"353590 Paranapuã";1432
"353620 Pariquera-Açu";5467
"353625 Parisi";771
"353630 Patrocínio Paulista";3751
"353640 Paulicéia";2428
"353670 Pederneiras";1174
"353690 Pedranópolis";920
"353720 Pedro de Toledo";2852
"353750 Pereiras";2547
"353760 Peruíbe";12526
"353780 Piedade";1067
"353790 Pilar do Sul";2536
"353810 Pindorama";2399
"353830 Piquerobi";1135
"353850 Piquete";4719
"353870 Piracicaba";31440
"353880 Piraju";11496
"353890 Pirajuí";3047
"353900 Pirangi";3956
"353910 Pirapora do Bom Jesus";4652
"353920 Pirapozinho";7903
"353930 Pirassununga";11842
"353940 Piratininga";3333
"353970 Platina";1361
"353980 Poá";10760
"354000 Pompéia";6219
"354010 Pongaí";1167
"354025 Pontalinda";1058
"354030 Pontes Gestal";948
"354040 Populina";1564
"354050 Porangaba";3191
"354060 Porto Feliz";9948
"354070 Porto Ferreira";649
"354085 Pracinha";526
"354090 Pradópolis";624
"354100 Praia Grande";93502
"354120 Presidente Bernardes";3947
"354130 Presidente Epitácio";9471
"354140 Presidente Prudente";15800
"354150 Presidente Venceslau";6696
"354160 Promissão";5679
"354165 Quadra";1066
"354170 Quatá";4405
"354180 Queiroz";982
"354190 Queluz";2624
"354200 Quintana";2042
"354220 Rancharia";6244
"354230 Redenção da Serra";860
"354240 Regente Feijó";5926
"354250 Reginópolis";583
"354260 Registro";11747
"354270 Restinga";1416
"354280 Ribeira";617
"354290 Ribeirão Bonito";2942
"354300 Ribeirão Branco";5801
"354310 Ribeirão Corrente";847
"354320 Ribeirão do Sul";1582
"354323 Ribeirão dos Índios";839
"354325 Ribeirão Grande";2628
"354340 Ribeirão Preto";65091
"354360 Rifaina";777
"354370 Rincão";467
"354380 Rinópolis";3297
"354390 Rio Claro";11006
"354420 Riolândia";2659
"354350 Riversul";2061
"354425 Rosana";5387
"354440 Rubiácea";958
"354450 Rubinéia";1205
"354460 Sabino";3505
"354470 Sagres";733
"354520 Salto";1877
"354530 Salto de Pirapora";13204
"354540 Salto Grande";1847
"354550 Sandovalina";1261
"354610 Santa Clara d'Oeste";742
"354620 Santa Cruz da Conceição";1351
"354630 Santa Cruz das Palmeiras";6576
"354660 Santa Fé do Sul";12782
"354680 Santa Isabel";7734
"354710 Santa Mercedes";1030
"354740 Santa Rita d'Oeste";1021
"354750 Santa Rita do Passa Quatro";779
"354760 Santa Rosa de Viterbo";1545
"354765 Santa Salete";588
"354720 Santana da Ponte Pensa";583
"354730 Santana de Parnaíba";2788
"354770 Santo Anastácio";4860
"354800 Santo Antônio de Posse";1917
"354830 Santo Expedito";1163
"354850 Santos";41817
"354870 São Bernardo do Campo";186039
"354880 São Caetano do Sul";22924
"354890 São Carlos";12870
"354900 São Francisco";1098
"354910 São João da Boa Vista";11780
"354925 São João de Iracema";609
"354930 São João do Pau d'Alho";819
"354990 São José dos Campos";27419
"354995 São Lourenço da Serra";5153
"355000 São Luís do Paraitinga";13
"355010 São Manuel";5098
"355030 São Paulo";1351142
"355040 São Pedro";4411
"355050 São Pedro do Turvo";2300
"355060 São Roque";1854
"355070 São Sebastião";22552
"355080 São Sebastião da Grama";3423
"355100 São Vicente";9838
"355120 Sarutaiá";1124
"355130 Sebastianópolis do Sul";1230
"355150 Serrana";2066
"355170 Sertãozinho";1112
"355180 Sete Barras";1889
"355190 Severínia";4675
"355210 Socorro";4249
"355220 Sorocaba";14663
"355240 Sumaré";6148
"355250 Suzano";23370
"355260 Tabapuã";1400
"355270 Tabatinga";2424
"355280 Taboão da Serra";27805
"355290 Taciba";1813
"355320 Taiúva";998
"355330 Tambaú";3752
"355340 Tanabi";6920
"355350 Tapiraí";2208
"355380 Taquarituba";4085
"355385 Taquarivaí";1702
"355390 Tarabai";2321
"355395 Tarumã";4532
"355400 Tatuí";7592
"355430 Teodoro Sampaio";6593
"355440 Terra Roxa";2645
"355450 Tietê";5471
"355460 Timburi";914
"355480 Tremembé";8015
"355490 Três Fronteiras";1173
"355500 Tupã";9094
"355510 Tupi Paulista";3297
"355520 Turiúba";703
"355540 Ubatuba";24890
"355580 Urânia";3440
"355590 Uru";492
"355610 Valentim Gentil";3917
"355645 Vargem Grande Paulista";10999
"355660 Vera Cruz";750
"355680 Viradouro";1122
"355695 Vitória Brasil";642
"355700 Votorantim";2029
"355710 Votuporanga";21943
"Total";4182100
 Fonte: Ministério da Saúde - Sistema de Informação de Atenção Básica - SIAB 
 Consulte o site da  Secretaria Estadual de Saúde para mais informações.
