 Sistema de Informação de Atenção Básica - Cadastramento Familiar - São Paulo
Nº Famílias por Município
Período:Dez/2015
"Município";"Nº_Famílias"
"350010 Adamantina";5325
"350050 Águas de Lindóia";3588
"350070 Agudos";4615
"350075 Alambari";1577
"350080 Alfredo Marcondes";1653
"350100 Altinópolis";5110
"350120 Álvares Florence";1505
"350130 Álvares Machado";7101
"350140 Álvaro de Carvalho";1054
"350150 Alvinlândia";875
"350180 Américo de Campos";2093
"350190 Amparo";20238
"350220 Angatuba";2978
"350240 Anhumas";1317
"350250 Aparecida";6756
"350260 Aparecida d'Oeste";1742
"350270 Apiaí";6033
"350280 Araçatuba";45379
"350290 Araçoiaba da Serra";3108
"350300 Aramina";1694
"350310 Arandu";1888
"350315 Arapeí";843
"350320 Araraquara";28458
"350330 Araras";18122
"350335 Arco-Íris";673
"350340 Arealva";2677
"350350 Areias";1150
"350360 Areiópolis";3036
"350370 Ariranha";1111
"350380 Artur Nogueira";14649
"350395 Aspásia";654
"350400 Assis";10727
"350410 Atibaia";10515
"350450 Avaré";5482
"350470 Balbinos";514
"350490 Bananal";2295
"350500 Barão de Antonina";1027
"350520 Bariri";4069
"350530 Barra Bonita";1100
"350535 Barra do Chapéu";1766
"350540 Barra do Turvo";2315
"350550 Barretos";5096
"350570 Barueri";2561
"350580 Bastos";6289
"350590 Batatais";12186
"350600 Bauru";14297
"350610 Bebedouro";9480
"350650 Birigui";27016
"350670 Boa Esperança do Sul";2721
"350680 Bocaina";2513
"350715 Bom Sucesso de Itararé";1160
"350720 Borá";284
"350740 Borborema";5418
"350750 Botucatu";9955
"350760 Bragança Paulista";23135
"350770 Braúna";1701
"350775 Brejo Alegre";863
"350780 Brodowski";4140
"350790 Brotas";1120
"350800 Buri";4291
"350820 Buritizal";1041
"350830 Cabrália Paulista";506
"350840 Cabreúva";274
"350850 Caçapava";15648
"350860 Cachoeira Paulista";7972
"350890 Caiabu";1354
"350920 Cajamar";11865
"350925 Cajati";6026
"350930 Cajobi";1848
"350940 Cajuru";5226
"350945 Campina do Monte Alegre";1796
"350950 Campinas";153101
"350970 Campos do Jordão";13007
"350980 Campos Novos Paulista";1527
"350990 Cananéia";4241
"350995 Canas";1490
"351000 Cândido Mota";1064
"351010 Cândido Rodrigues";1028
"351020 Capão Bonito";10171
"351040 Capivari";3629
"351050 Caraguatatuba";27345
"351070 Cardoso";2118
"351080 Casa Branca";2823
"351090 Cássia dos Coqueiros";820
"351110 Catanduva";19633
"351120 Catiguá";1101
"351140 Cerqueira César";5161
"351150 Cerquilho";3215
"351160 Cesário Lange";1587
"351190 Clementina";2227
"351200 Colina";4180
"351220 Conchal";6919
"351230 Conchas";3971
"351240 Cordeirópolis";4382
"351250 Coroados";1826
"351260 Coronel Macedo";1421
"351280 Cosmópolis";6682
"351300 Cotia";12561
"351310 Cravinhos";1599
"351320 Cristais Paulista";729
"351360 Cunha";189
"351370 Descalvado";7242
"351385 Dirce Reis";639
"351390 Divinolândia";3094
"351420 Dolcinópolis";918
"351430 Dourado";3076
"351440 Dracena";3164
"351450 Duartina";4285
"351470 Echaporã";2261
"351490 Elias Fausto";4746
"351492 Elisiário";931
"351495 Embaúba";832
"351500 Embu das Artes";25231
"351510 Embu-Guaçu";6196
"351512 Emilianópolis";1135
"351515 Engenheiro Coelho";3165
"351518 Espírito Santo do Pinhal";7522
"351519 Espírito Santo do Turvo";1385
"355730 Estiva Gerbi";3286
"351530 Estrela do Norte";940
"351535 Euclides da Cunha Paulista";3052
"351540 Fartura";1406
"351560 Fernando Prestes";1934
"351565 Fernão";515
"351600 Flórida Paulista";3606
"351610 Florínia";884
"351620 Franca";7537
"351630 Francisco Morato";35825
"351650 Gabriel Monteiro";1057
"351660 Gália";2465
"351700 Getulina";1224
"351710 Glicério";1673
"351720 Guaiçara";683
"351730 Guaimbê";1644
"351740 Guaíra";12160
"351760 Guapiara";5963
"351780 Guaraçaí";2935
"351790 Guaraci";1562
"351800 Guarani d'Oeste";756
"351810 Guarantã";2213
"351840 Guaratinguetá";10173
"351850 Guareí";3982
"351860 Guariba";1004
"351870 Guarujá";29215
"351880 Guarulhos";169347
"351900 Herculândia";2044
"351907 Hortolândia";15447
"351910 Iacanga";3242
"351920 Iacri";1657
"351925 Iaras";97
"351930 Ibaté";6830
"351960 Ibitinga";3565
"351990 Iepê";2768
"352000 Igaraçu do Tietê";1707
"352010 Igarapava";3856
"352020 Igaratá";3284
"352042 Ilha Comprida";3544
"352040 Ilhabela";10666
"352060 Indiana";1724
"352070 Indiaporã";1475
"352080 Inúbia Paulista";1176
"352100 Iperó";2117
"352120 Iporanga";1282
"352130 Ipuã";3503
"352140 Iracemápolis";4391
"352150 Irapuã";1503
"352160 Irapuru";1924
"352170 Itaberá";3540
"352180 Itaí";2571
"352190 Itajobi";4913
"352200 Itaju";1019
"352215 Itaóca";974
"352220 Itapecerica da Serra";4785
"352230 Itapetininga";8818
"352240 Itapeva";19612
"352250 Itapevi";19952
"352260 Itapira";13323
"352265 Itapirapuã Paulista";1325
"352280 Itaporanga";5044
"352290 Itapuí";3920
"352320 Itararé";10273
"352330 Itariri";3578
"352340 Itatiba";19329
"352360 Itirapina";2256
"352370 Itirapuã";1609
"352380 Itobi";1475
"352400 Itupeva";3562
"352450 Jaci";1012
"352460 Jacupiranga";3500
"352480 Jales";4684
"352490 Jambeiro";1619
"352500 Jandira";28057
"352510 Jardinópolis";5159
"352560 João Ramalho";1526
"352590 Jundiaí";11542
"352600 Junqueirópolis";6235
"352610 Juquiá";3414
"352620 Juquitiba";7699
"352630 Lagoinha";1664
"352670 Leme";14662
"352680 Lençóis Paulista";18517
"352700 Lindóia";3827
"352710 Lins";18630
"352720 Lorena";9355
"352740 Lucélia";5222
"352760 Luís Antônio";5110
"352780 Lupércio";1278
"352790 Lutécia";1839
"352800 Macatuba";4433
"352820 Macedônia";1328
"352840 Mairinque";4517
"352850 Mairiporã";9946
"352870 Marabá Paulista";1549
"352880 Maracaí";2181
"352910 Marinópolis";724
"352920 Martinópolis";5417
"352930 Matão";4030
"352960 Meridiano";1477
"352965 Mesópolis";537
"352970 Miguelópolis";4015
"352980 Mineiros do Tietê";1079
"353000 Mira Estrela";1063
"352990 Miracatu";3457
"353010 Mirandópolis";7168
"353020 Mirante do Paranapanema";5414
"353030 Mirassol";3804
"353050 Mococa";7942
"353070 Mogi Guaçu";39199
"353080 Mogi Mirim";6542
"353090 Mombuca";912
"353100 Monções";699
"353110 Mongaguá";10161
"353120 Monte Alegre do Sul";2308
"353140 Monte Aprazível";3608
"353150 Monte Azul Paulista";312
"353160 Monte Castelo";1544
"353170 Monteiro Lobato";1238
"353205 Motuca";1351
"353210 Murutinga do Sul";1558
"353215 Nantes";831
"353220 Narandiba";1521
"353250 Neves Paulista";2317
"353260 Nhandeara";3286
"353282 Nova Campina";2540
"353284 Nova Canaã Paulista";791
"353290 Nova Europa";2868
"353300 Nova Granada";885
"353310 Nova Guataporanga";805
"353320 Nova Independência";1253
