 Sistema de Informação de Atenção Básica - Cadastramento Familiar - São Paulo
Nº Famílias por Município
Período:Dez/2010
"Município";"Nº_Famílias"
"350010 Adamantina";3446
"350020 Adolfo";1301
"350050 Águas de Lindóia";949
"350070 Agudos";3375
"350075 Alambari";1524
"350080 Alfredo Marcondes";1463
"350090 Altair";1032
"350100 Altinópolis";4804
"350110 Alto Alegre";1438
"350120 Álvares Florence";1429
"350130 Álvares Machado";11287
"350140 Álvaro de Carvalho";1042
"350150 Alvinlândia";837
"350160 Americana";9549
"350180 Américo de Campos";1823
"350190 Amparo";18230
"350210 Andradina";14856
"350220 Angatuba";1953
"350230 Anhembi";1376
"350240 Anhumas";1216
"350250 Aparecida";4755
"350260 Aparecida d'Oeste";1650
"350270 Apiaí";6215
"350280 Araçatuba";34287
"350290 Araçoiaba da Serra";2483
"350300 Aramina";1620
"350310 Arandu";1740
"350315 Arapeí";815
"350320 Araraquara";17956
"350330 Araras";17078
"350335 Arco-Íris";623
"350340 Arealva";2589
"350350 Areias";1113
"350360 Areiópolis";4905
"350370 Ariranha";1109
"350380 Artur Nogueira";10293
"350400 Assis";9998
"350410 Atibaia";9426
"350420 Auriflama";960
"350440 Avanhandava";2822
"350450 Avaré";5482
"350490 Bananal";2236
"350500 Barão de Antonina";997
"350520 Bariri";3131
"350530 Barra Bonita";1012
"350535 Barra do Chapéu";1527
"350540 Barra do Turvo";2258
"350550 Barretos";15232
"350560 Barrinha";3105
"350580 Bastos";5952
"350590 Batatais";9323
"350600 Bauru";9043
"350610 Bebedouro";9587
"350620 Bento de Abreu";765
"350630 Bernardino de Campos";1908
"350640 Bilac";2080
"350650 Birigui";19154
"350660 Biritiba-Mirim";4138
"350670 Boa Esperança do Sul";2045
"350680 Bocaina";2562
"350715 Bom Sucesso de Itararé";1069
"350730 Boracéia";1086
"350740 Borborema";5887
"350745 Borebi";531
"350750 Botucatu";9405
"350760 Bragança Paulista";21455
"350770 Braúna";1646
"350775 Brejo Alegre";832
"350780 Brodowski";931
"350790 Brotas";845
"350800 Buri";4225
"350810 Buritama";4595
"350820 Buritizal";956
"350830 Cabrália Paulista";364
"350850 Caçapava";14490
"350860 Cachoeira Paulista";7942
"350880 Cafelândia";2234
"350890 Caiabu";1320
"350910 Caiuá";1864
"350920 Cajamar";10734
"350925 Cajati";2477
"350930 Cajobi";10360
"350940 Cajuru";5069
"350945 Campina do Monte Alegre";1751
"350950 Campinas";143549
"350970 Campos do Jordão";13839
"350980 Campos Novos Paulista";1440
"350990 Cananéia";3274
"350995 Canas";1307
"351000 Cândido Mota";1088
"351010 Cândido Rodrigues";909
"351015 Canitar";1010
"351020 Capão Bonito";10121
"351040 Capivari";3436
"351050 Caraguatatuba";25937
"351070 Cardoso";1729
"351080 Casa Branca";2792
"351090 Cássia dos Coqueiros";4115
"351100 Castilho";6382
"351110 Catanduva";19932
"351120 Catiguá";969
"351140 Cerqueira César";3699
"351150 Cerquilho";4975
"351160 Cesário Lange";1374
"355720 Chavantes";573
"351190 Clementina";2822
"351200 Colina";4917
"351210 Colômbia";917
"351220 Conchal";6367
"351230 Conchas";4112
"351240 Cordeirópolis";4739
"351250 Coroados";1610
"351260 Coronel Macedo";1000
"351280 Cosmópolis";6744
"351290 Cosmorama";609
"351300 Cotia";3267
"351310 Cravinhos";753
"351320 Cristais Paulista";482
"351330 Cruzália";769
"351340 Cruzeiro";4580
