 Sistema de Informação de Atenção Básica - Cadastramento Familiar - São Paulo
Nº Famílias por Município
Período:Dez/2010
"Município";"Nº_Famílias"
"351350 Cubatão";15866
"351360 Cunha";4013
"351370 Descalvado";8900
"351380 Diadema";147781
"351385 Dirce Reis";599
"351390 Divinolândia";874
"351410 Dois Córregos";4354
"351420 Dolcinópolis";865
"351430 Dourado";3169
"351440 Dracena";2015
"351450 Duartina";4117
"351470 Echaporã";2061
"351480 Eldorado";1329
"351490 Elias Fausto";5054
"351492 Elisiário";898
"351495 Embaúba";790
"351500 Embu das Artes";19193
"351510 Embu-Guaçu";3709
"351512 Emilianópolis";1016
"351515 Engenheiro Coelho";3165
"351518 Espírito Santo do Pinhal";8742
"351519 Espírito Santo do Turvo";1316
"355730 Estiva Gerbi";2485
"351530 Estrela do Norte";839
"351535 Euclides da Cunha Paulista";2966
"351540 Fartura";945
"351560 Fernando Prestes";1820
"351550 Fernandópolis";12867
"351565 Fernão";461
"351580 Flora Rica";602
"351600 Flórida Paulista";3440
"351610 Florínia";810
"351620 Franca";4587
"351630 Francisco Morato";33734
"351640 Franco da Rocha";5552
"351650 Gabriel Monteiro";980
"351660 Gália";2359
"351670 Garça";13435
"351685 Gavião Peixoto";1056
"351700 Getulina";938
"351710 Glicério";1459
"351720 Guaiçara";632
"351730 Guaimbê";1570
"351740 Guaíra";10964
"351750 Guapiaçu";2690
"351760 Guapiara";5526
"351770 Guará";5050
"351780 Guaraçaí";513
"351790 Guaraci";2709
"351800 Guarani d'Oeste";707
"351810 Guarantã";1661
"351840 Guaratinguetá";7905
"351850 Guareí";3799
"351860 Guariba";1083
"351870 Guarujá";10416
"351880 Guarulhos";133313
"351890 Guzolândia";1313
"351900 Herculândia";2062
"351905 Holambra";1625
"351907 Hortolândia";10457
"351910 Iacanga";3070
"351920 Iacri";1668
"351925 Iaras";281
"351930 Ibaté";5816
"351940 Ibirá";1509
"351950 Ibirarema";89
"351960 Ibitinga";3381
"351980 Icém";787
"351990 Iepê";1153
"352010 Igarapava";1366
"352020 Igaratá";2522
"352030 Iguape";5814
"352042 Ilha Comprida";2252
"352044 Ilha Solteira";4823
"352040 Ilhabela";8552
"352050 Indaiatuba";7619
"352060 Indiana";1654
"352070 Indiaporã";1387
"352080 Inúbia Paulista";1159
"352090 Ipaussu";2936
"352100 Iperó";2417
"352110 Ipeúna";5205
"352120 Iporanga";1233
"352130 Ipuã";3717
"352140 Iracemápolis";4841
"352150 Irapuã";2039
"352160 Irapuru";1887
"352170 Itaberá";3466
"352180 Itaí";2719
"352190 Itajobi";4775
"352200 Itaju";941
"352210 Itanhaém";23566
"352215 Itaóca";932
"352220 Itapecerica da Serra";11509
"352230 Itapetininga";9635
"352240 Itapeva";15461
"352250 Itapevi";15668
"352260 Itapira";14650
"352265 Itapirapuã Paulista";1161
"352270 Itápolis";566
"352280 Itaporanga";4649
"352290 Itapuí";3595
"352300 Itapura";1424
"352310 Itaquaquecetuba";10388
"352320 Itararé";10931
"352330 Itariri";3109
"352340 Itatiba";13158
"352350 Itatinga";1178
"352360 Itirapina";2166
"352370 Itirapuã";1302
"352390 Itu";253
"352400 Itupeva";4932
"352410 Ituverava";8553
"352430 Jaboticabal";630
"352440 Jacareí";13580
"352450 Jaci";1630
"352460 Jacupiranga";4086
"352480 Jales";12149
"352490 Jambeiro";1598
"352500 Jandira";27320
"352510 Jardinópolis";4097
"352530 Jaú";8630
"352540 Jeriquara";897
"352560 João Ramalho";1241
"352570 José Bonifácio";2267
"352580 Júlio Mesquita";1394
"352590 Jundiaí";32327
"352600 Junqueirópolis";5382
"352610 Juquiá";3019
"352620 Juquitiba";6941
"352630 Lagoinha";801
"352650 Lavínia";1769
"352660 Lavrinhas";6695
"352670 Leme";12125
"352680 Lençóis Paulista";18192
"352690 Limeira";9737
"352700 Lindóia";2497
"352710 Lins";17692
"352720 Lorena";7320
"352725 Lourdes";683
"352740 Lucélia";4606
"352760 Luís Antônio";3146
"352770 Luiziânia";1258
"352780 Lupércio";1341
"352790 Lutécia";1544
"352800 Macatuba";4652
"352820 Macedônia";1206
"352840 Mairinque";4810
"352850 Mairiporã";7823
"352870 Marabá Paulista";1327
"352900 Marília";51057
"352910 Marinópolis";721
"352920 Martinópolis";4829
"352930 Matão";5795
"352940 Mauá";42978
"352960 Meridiano";1219
"352965 Mesópolis";640
"352970 Miguelópolis";3682
"352980 Mineiros do Tietê";1018
"353000 Mira Estrela";946
"352990 Miracatu";2085
"353010 Mirandópolis";6986
"353020 Mirante do Paranapanema";5225
"353030 Mirassol";2590
"353050 Mococa";6620
"353060 Mogi das Cruzes";6455
"353070 Mogi Guaçu";39584
"353080 Mogi Mirim";17161
"353090 Mombuca";897
"353100 Monções";679
"353110 Mongaguá";9395
"353120 Monte Alegre do Sul";2255
"353130 Monte Alto";3858
"353140 Monte Aprazível";3662
"353150 Monte Azul Paulista";302
"353160 Monte Castelo";1394
"353180 Monte Mor";17898
"353170 Monteiro Lobato";1238
"353190 Morro Agudo";5840
"353205 Motuca";1357
"353210 Murutinga do Sul";1491
"353215 Nantes";820
"353220 Narandiba";1277
"353230 Natividade da Serra";724
"353250 Neves Paulista";2197
"353260 Nhandeara";2278
"353270 Nipoã";1394
"353280 Nova Aliança";2069
"353282 Nova Campina";2330
"353284 Nova Canaã Paulista";751
"353286 Nova Castilho";369
"353290 Nova Europa";2572
"353300 Nova Granada";896
"353310 Nova Guataporanga";697
"353320 Nova Independência";899
"353330 Nova Luzitânia";1063
"353360 Nuporanga";1989
"353400 Onda Verde";983
"353410 Oriente";1929
"353430 Orlândia";2640
"353440 Osasco";28247
"353450 Oscar Bressane";877
"353460 Osvaldo Cruz";6839
"353470 Ourinhos";11697
"353480 Ouro Verde";2495
"353475 Ouroeste";2313
"353490 Pacaembu";2909
"353500 Palestina";1268
"353520 Palmeira d'Oeste";2152
"353530 Palmital";3317
"353540 Panorama";2100
"353550 Paraguaçu Paulista";5838
"353560 Paraibuna";4891
"353570 Paraíso";1707
"353580 Paranapanema";2142
"353590 Paranapuã";1331
"353600 Parapuã";2965
"353620 Pariquera-Açu";5443
"353625 Parisi";711
"353630 Patrocínio Paulista";3647
"353640 Paulicéia";2115
"353657 Paulistânia";546
"353670 Pederneiras";1166
"353690 Pedranópolis";868
"353700 Pedregulho";670
"353710 Pedreira";32800
"353715 Pedrinhas Paulista";500
"353720 Pedro de Toledo";2997
"353730 Penápolis";14522
"353740 Pereira Barreto";6291
"353750 Pereiras";2456
"353760 Peruíbe";11448
"353770 Piacatu";1737
"353780 Piedade";1333
"353790 Pilar do Sul";1610
"353800 Pindamonhangaba";15727
"353830 Piquerobi";1160
"353850 Piquete";3691
"353870 Piracicaba";30348
"353880 Piraju";16517
"353890 Pirajuí";2792
"353900 Pirangi";1397
"353910 Pirapora do Bom Jesus";4518
"353920 Pirapozinho";7242
"353930 Pirassununga";14488
"353940 Piratininga";754
"353950 Pitangueiras";10539
"353960 Planalto";1453
"353970 Platina";971
"353980 Poá";8601
"354000 Pompéia";5849
"354010 Pongaí";1168
"354020 Pontal";3644
"354025 Pontalinda";1279
"354030 Pontes Gestal";891
"354040 Populina";1531
"354050 Porangaba";2618
"354060 Porto Feliz";10025
"354070 Porto Ferreira";3007
"354075 Potim";5807
"354080 Potirendaba";2851
"354085 Pracinha";491
"354090 Pradópolis";877
"354100 Praia Grande";74948
"354120 Presidente Bernardes";3971
"354130 Presidente Epitácio";9284
"354140 Presidente Prudente";62855
"354150 Presidente Venceslau";6725
"354160 Promissão";5608
"354165 Quadra";1042
"354170 Quatá";3579
"354180 Queiroz";790
"354190 Queluz";2552
"354200 Quintana";1953
"354220 Rancharia";6827
"354230 Redenção da Serra";841
"354240 Regente Feijó";5342
"354260 Registro";11314
"354270 Restinga";1489
"354280 Ribeira";997
"354290 Ribeirão Bonito";2842
"354300 Ribeirão Branco";5166
"354310 Ribeirão Corrente";635
"354320 Ribeirão do Sul";1281
"354323 Ribeirão dos Índios";782
"354325 Ribeirão Grande";2347
"354330 Ribeirão Pires";6106
"354340 Ribeirão Preto";55425
"354360 Rifaina";668
"354370 Rincão";436
"354380 Rinópolis";2812
"354390 Rio Claro";14658
"354420 Riolândia";707
"354350 Riversul";2044
"354425 Rosana";4966
"354430 Roseira";2103
"354440 Rubiácea";872
"354450 Rubinéia";985
"354460 Sabino";1725
"354470 Sagres";730
"354490 Sales Oliveira";2504
"354510 Salmourão";1349
"354530 Salto de Pirapora";11135
"354540 Salto Grande";1409
"354550 Sandovalina";1105
"354600 Santa Branca";5340
"354610 Santa Clara d'Oeste";674
"354620 Santa Cruz da Conceição";1209
"354625 Santa Cruz da Esperança";570
"354630 Santa Cruz das Palmeiras";4437
"354640 Santa Cruz do Rio Pardo";5884
"354660 Santa Fé do Sul";9794
"354670 Santa Gertrudes";5229
"354680 Santa Isabel";7618
"354710 Santa Mercedes";919
"354740 Santa Rita d'Oeste";904
"354750 Santa Rita do Passa Quatro";496
"354760 Santa Rosa de Viterbo";1676
"354765 Santa Salete";539
"354730 Santana de Parnaíba";1613
"354770 Santo Anastácio";4174
"354780 Santo André";42532
"354790 Santo Antônio da Alegria";1508
"354800 Santo Antônio de Posse";700
"354805 Santo Antônio do Aracanguá";2522
"354820 Santo Antônio do Pinhal";1975
"354830 Santo Expedito";998
"354840 Santópolis do Aguapeí";1346
"354850 Santos";35982
"354870 São Bernardo do Campo";52963
"354880 São Caetano do Sul";19802
"354890 São Carlos";17216
"354900 São Francisco";1026
"354910 São João da Boa Vista";9103
"354925 São João de Iracema";556
"354930 São João do Pau d'Alho";806
"354940 São Joaquim da Barra";5322
"354950 São José da Bela Vista";3049
"354960 São José do Barreiro";1268
"354970 São José do Rio Pardo";5321
"354980 São José do Rio Preto";29642
"354990 São José dos Campos";30746
"354995 São Lourenço da Serra";3443
"355000 São Luís do Paraitinga";3764
"355010 São Manuel";3186
"355030 São Paulo";1190645
"355040 São Pedro";1015
"355050 São Pedro do Turvo";2113
"355060 São Roque";1189
"355070 São Sebastião";21961
"355080 São Sebastião da Grama";17539
"355100 São Vicente";15414
"355120 Sarutaiá";1165
"355130 Sebastianópolis do Sul";1093
"355140 Serra Azul";1878
"355160 Serra Negra";2279
"355150 Serrana";1708
"355170 Sertãozinho";3829
"355180 Sete Barras";1978
"355190 Severínia";2
"355200 Silveiras";1638
"355210 Socorro";2938
"355220 Sorocaba";14435
"355230 Sud Mennucci";2728
"355240 Sumaré";27588
"355255 Suzanápolis";1232
"355250 Suzano";14371
"355270 Tabatinga";12505
"355280 Taboão da Serra";31841
"355290 Taciba";1724
"355300 Taguaí";855
"355310 Taiaçu";1750
"355320 Taiúva";1118
"355330 Tambaú";3859
"355340 Tanabi";6593
"355365 Taquaral";870
"355380 Taquarituba";4253
"355385 Taquarivaí";1461
"355390 Tarabai";2166
"355395 Tarumã";4182
"355400 Tatuí";6192
"355410 Taubaté";10784
"355430 Teodoro Sampaio";6373
"355440 Terra Roxa";2586
"355450 Tietê";4314
"355460 Timburi";914
"355475 Trabiju";489
"355480 Tremembé";7126
"355490 Três Fronteiras";1582
"355500 Tupã";8661
"355510 Tupi Paulista";3211
"355520 Turiúba";685
"355530 Turmalina";783
"355535 Ubarana";1477
"355540 Ubatuba";22456
"355550 Ubirajara";1358
"355560 Uchoa";2618
"355580 Urânia";2516
"355590 Uru";515
"355600 Urupês";739
"355610 Valentim Gentil";928
"355630 Valparaíso";5852
"355640 Vargem Grande do Sul";49165
"355645 Vargem Grande Paulista";8324
"355650 Várzea Paulista";5190
"355660 Vera Cruz";917
"355680 Viradouro";4037
"355690 Vista Alegre do Alto";941
"355695 Vitória Brasil";562
"355700 Votorantim";1897
"355710 Votuporanga";10806
"355715 Zacarias";764
"Total";4585898
 Fonte: Ministério da Saúde - Sistema de Informação de Atenção Básica - SIAB 
 Consulte o site da  Secretaria Estadual de Saúde para mais informações.
