 Sistema de Informação de Atenção Básica - Cadastramento Familiar - São Paulo
Nº Famílias por Município
Período:Dez/2012
"Município";"Nº_Famílias"
"350010 Adamantina";4817
"350020 Adolfo";1333
"350050 Águas de Lindóia";3186
"350070 Agudos";3580
"350075 Alambari";1588
"350080 Alfredo Marcondes";1534
"350090 Altair";1040
"350100 Altinópolis";5009
"350110 Alto Alegre";1468
"350120 Álvares Florence";1488
"350130 Álvares Machado";6608
"350140 Álvaro de Carvalho";1054
"350150 Alvinlândia";554
"350160 Americana";10399
"350180 Américo de Campos";1798
"350190 Amparo";17566
"350210 Andradina";15496
"350220 Angatuba";2996
"350230 Anhembi";1364
"350240 Anhumas";1265
"350250 Aparecida";5816
"350260 Aparecida d'Oeste";1674
"350270 Apiaí";5835
"350280 Araçatuba";38048
"350290 Araçoiaba da Serra";2483
"350300 Aramina";1708
"350310 Arandu";1832
"350315 Arapeí";837
"350320 Araraquara";21431
"350330 Araras";18730
"350335 Arco-Íris";673
"350340 Arealva";2684
"350350 Areias";1094
"350360 Areiópolis";3036
"350370 Ariranha";1106
"350380 Artur Nogueira";10221
"350390 Arujá";10409
"350395 Aspásia";621
"350400 Assis";10215
"350410 Atibaia";10176
"350420 Auriflama";2253
"350440 Avanhandava";3054
"350450 Avaré";5482
"350460 Bady Bassitt";3513
"350470 Balbinos";437
"350490 Bananal";2248
"350500 Barão de Antonina";1024
"350520 Bariri";4102
"350530 Barra Bonita";1027
"350535 Barra do Chapéu";1634
"350540 Barra do Turvo";2283
"350550 Barretos";6128
"350560 Barrinha";3105
"350580 Bastos";6220
"350590 Batatais";8372
"350600 Bauru";9953
"350610 Bebedouro";10076
"350620 Bento de Abreu";811
"350630 Bernardino de Campos";1784
"350640 Bilac";2054
"350650 Birigui";26906
"350660 Biritiba-Mirim";3493
"350670 Boa Esperança do Sul";2114
"350680 Bocaina";2489
"350715 Bom Sucesso de Itararé";1080
"350720 Borá";269
"350730 Boracéia";1501
"350740 Borborema";5009
"350745 Borebi";713
"350750 Botucatu";299
"350760 Bragança Paulista";23209
"350770 Braúna";1652
"350775 Brejo Alegre";812
"350780 Brodowski";3445
"350790 Brotas";956
"350800 Buri";4706
"350810 Buritama";4796
"350820 Buritizal";1067
"350830 Cabrália Paulista";357
"350850 Caçapava";15266
"350860 Cachoeira Paulista";7909
"350870 Caconde";2200
"350880 Cafelândia";2252
"350890 Caiabu";1347
"350910 Caiuá";1870
"350920 Cajamar";11803
"350925 Cajati";3723
"350930 Cajobi";2244
"350940 Cajuru";6289
"350945 Campina do Monte Alegre";1781
"350950 Campinas";147035
"350970 Campos do Jordão";11496
"350980 Campos Novos Paulista";1507
"350990 Cananéia";4027
"350995 Canas";1441
"351000 Cândido Mota";1076
"351010 Cândido Rodrigues";1011
"351015 Canitar";1010
"351020 Capão Bonito";10505
"351040 Capivari";3629
"351050 Caraguatatuba";26754
"351070 Cardoso";2497
"351080 Casa Branca";2826
"351090 Cássia dos Coqueiros";866
"351100 Castilho";7011
"351110 Catanduva";20237
"351120 Catiguá";1023
"351140 Cerqueira César";5148
"351150 Cerquilho";3753
"351160 Cesário Lange";1766
"355720 Chavantes";571
"351190 Clementina";2227
"351200 Colina";4964
"351210 Colômbia";1072
"351220 Conchal";6638
"351230 Conchas";3909
"351240 Cordeirópolis";4575
"351250 Coroados";1650
"351260 Coronel Macedo";1286
"351280 Cosmópolis";6887
"351290 Cosmorama";671
"351300 Cotia";12340
"351310 Cravinhos";2322
"351320 Cristais Paulista";725
"351330 Cruzália";803
"351340 Cruzeiro";4580
"351350 Cubatão";17910
"351360 Cunha";4150
"351370 Descalvado";9480
"351380 Diadema";119268
"351385 Dirce Reis";623
"351390 Divinolândia";3237
"351400 Dobrada";2176
"351410 Dois Córregos";4163
"351420 Dolcinópolis";905
"351430 Dourado";3275
"351440 Dracena";3003
"351450 Duartina";4220
"351460 Dumont";428
"351470 Echaporã";2128
"351480 Eldorado";1476
"351490 Elias Fausto";4535
"351492 Elisiário";973
"351495 Embaúba";813
"351500 Embu das Artes";21343
"351510 Embu-Guaçu";4033
"351512 Emilianópolis";1015
"351515 Engenheiro Coelho";3165
"351518 Espírito Santo do Pinhal";8773
"351519 Espírito Santo do Turvo";1394
"355730 Estiva Gerbi";3156
"351530 Estrela do Norte";863
"351535 Euclides da Cunha Paulista";3001
"351540 Fartura";950
"351560 Fernando Prestes";1831
"351550 Fernandópolis";13968
"351565 Fernão";526
"351580 Flora Rica";622
"351590 Floreal";1086
"351600 Flórida Paulista";3484
"351610 Florínia";885
"351620 Franca";4166
"351630 Francisco Morato";36430
"351640 Franco da Rocha";5855
"351650 Gabriel Monteiro";989
"351660 Gália";2401
"351670 Garça";13435
"351685 Gavião Peixoto";963
"351700 Getulina";1190
"351710 Glicério";1592
"351720 Guaiçara";623
"351730 Guaimbê";1644
"351740 Guaíra";11938
"351750 Guapiaçu";3454
"351760 Guapiara";5586
"351770 Guará";3910
"351780 Guaraçaí";2884
"351790 Guaraci";2894
"351800 Guarani d'Oeste";716
"351810 Guarantã";1674
"351820 Guararapes";6845
"351840 Guaratinguetá";8605
"351850 Guareí";3998
"351860 Guariba";921
"351870 Guarujá";11665
"351880 Guarulhos";146919
"351890 Guzolândia";1340
"351900 Herculândia";2071
"351907 Hortolândia";11311
"351910 Iacanga";3128
"351920 Iacri";1657
"351925 Iaras";97
"351930 Ibaté";6789
"351940 Ibirá";1487
"351950 Ibirarema";1938
"351960 Ibitinga";3540
"351980 Icém";781
"351990 Iepê";2701
"352000 Igaraçu do Tietê";1954
"352010 Igarapava";1366
"352020 Igaratá";3246
"352030 Iguape";5794
"352042 Ilha Comprida";3086
"352044 Ilha Solteira";4798
"352040 Ilhabela";9762
"352050 Indaiatuba";7660
"352060 Indiana";1692
"352070 Indiaporã";1422
"352080 Inúbia Paulista";1166
"352090 Ipaussu";3016
"352100 Iperó";1928
"352110 Ipeúna";1052
"352120 Iporanga";1263
"352130 Ipuã";3600
"352140 Iracemápolis";3358
"352150 Irapuã";1512
"352160 Irapuru";1891
"352170 Itaberá";3496
"352180 Itaí";2571
"352190 Itajobi";4913
"352200 Itaju";998
"352210 Itanhaém";23055
"352215 Itaóca";948
"352220 Itapecerica da Serra";12576
"352230 Itapetininga";10088
"352240 Itapeva";19067
"352250 Itapevi";17132
"352260 Itapira";13322
