 Sistema de Informação de Atenção Básica - Cadastramento Familiar - São Paulo
Nº Famílias por Município
Período:Dez/2012
"Município";"Nº_Famílias"
"352265 Itapirapuã Paulista";1208
"352270 Itápolis";716
"352280 Itaporanga";5032
"352290 Itapuí";3698
"352300 Itapura";1427
"352310 Itaquaquecetuba";13658
"352320 Itararé";10723
"352330 Itariri";3685
"352340 Itatiba";16405
"352350 Itatinga";2284
"352360 Itirapina";2293
"352370 Itirapuã";1487
"352380 Itobi";165
"352400 Itupeva";5712
"352410 Ituverava";8960
"352420 Jaborandi";1467
"352430 Jaboticabal";6835
"352440 Jacareí";14046
"352450 Jaci";1040
"352460 Jacupiranga";3335
"352480 Jales";13492
"352490 Jambeiro";1684
"352500 Jandira";31445
"352510 Jardinópolis";5080
"352530 Jaú";11139
"352540 Jeriquara";895
"352560 João Ramalho";1321
"352570 José Bonifácio";2269
"352580 Júlio Mesquita";1498
"352590 Jundiaí";42125
"352600 Junqueirópolis";5815
"352610 Juquiá";3261
"352620 Juquitiba";7496
"352630 Lagoinha";1675
"352650 Lavínia";1800
"352660 Lavrinhas";1349
"352670 Leme";14101
"352680 Lençóis Paulista";18449
"352690 Limeira";10005
"352700 Lindóia";3707
"352710 Lins";17547
"352720 Lorena";8571
"352725 Lourdes";685
"352740 Lucélia";5463
"352760 Luís Antônio";3167
"352770 Luiziânia";1421
"352780 Lupércio";557
"352790 Lutécia";1839
"352800 Macatuba";4513
"352810 Macaubal";2694
"352820 Macedônia";1246
"352830 Magda";1227
"352840 Mairinque";5021
"352850 Mairiporã";8080
"352870 Marabá Paulista";1475
"352880 Maracaí";2164
"352890 Mariápolis";968
"352900 Marília";55824
"352910 Marinópolis";718
"352920 Martinópolis";4998
"352930 Matão";7856
"352940 Mauá";58144
"352950 Mendonça";1628
"352960 Meridiano";1314
"352965 Mesópolis";651
"352970 Miguelópolis";4015
"352980 Mineiros do Tietê";1049
"353000 Mira Estrela";1031
"352990 Miracatu";3458
"353010 Mirandópolis";7114
"353020 Mirante do Paranapanema";5371
"353030 Mirassol";5277
"353050 Mococa";7485
"353060 Mogi das Cruzes";8635
"353070 Mogi Guaçu";39862
"353080 Mogi Mirim";15811
"353090 Mombuca";905
"353100 Monções";708
"353110 Mongaguá";9353
"353120 Monte Alegre do Sul";2326
"353130 Monte Alto";3790
"353140 Monte Aprazível";3667
"353150 Monte Azul Paulista";325
"353160 Monte Castelo";1441
"353180 Monte Mor";19814
"353170 Monteiro Lobato";1238
"353190 Morro Agudo";6609
"353205 Motuca";1677
"353210 Murutinga do Sul";1515
"353215 Nantes";810
"353220 Narandiba";1425
"353230 Natividade da Serra";699
"353250 Neves Paulista";2197
"353260 Nhandeara";3390
"353280 Nova Aliança";2115
"353282 Nova Campina";2394
"353284 Nova Canaã Paulista";755
"353286 Nova Castilho";376
"353290 Nova Europa";2868
"353300 Nova Granada";880
"353310 Nova Guataporanga";805
"353320 Nova Independência";1067
"353330 Nova Luzitânia";1117
"353350 Novo Horizonte";1447
"353360 Nuporanga";2038
"353370 Ocauçu";969
"353390 Olímpia";3764
"353400 Onda Verde";1004
"353410 Oriente";1928
"353420 Orindiúva";1602
"353430 Orlândia";5264
"353440 Osasco";84747
"353450 Oscar Bressane";956
"353460 Osvaldo Cruz";5925
"353470 Ourinhos";9391
"353480 Ouro Verde";2585
"353475 Ouroeste";2787
"353490 Pacaembu";2860
"353500 Palestina";1311
"353510 Palmares Paulista";1820
"353520 Palmeira d'Oeste";2098
"353530 Palmital";3428
"353540 Panorama";2248
"353550 Paraguaçu Paulista";6704
"353560 Paraibuna";5179
"353570 Paraíso";1780
"353580 Paranapanema";2133
"353590 Paranapuã";1374
"353600 Parapuã";3096
"353620 Pariquera-Açu";5445
"353625 Parisi";781
"353630 Patrocínio Paulista";3661
"353640 Paulicéia";2350
"353657 Paulistânia";524
"353660 Paulo de Faria";6
"353670 Pederneiras";1163
"353690 Pedranópolis";905
"353700 Pedregulho";909
"353710 Pedreira";8928
"353715 Pedrinhas Paulista";827
"353720 Pedro de Toledo";2470
"353730 Penápolis";17912
"353740 Pereira Barreto";10018
"353750 Pereiras";2497
"353760 Peruíbe";12378
"353770 Piacatu";1845
"353780 Piedade";1385
"353790 Pilar do Sul";2456
"353800 Pindamonhangaba";15929
"353810 Pindorama";2423
"353830 Piquerobi";1168
"353850 Piquete";3879
"353870 Piracicaba";31291
"353880 Piraju";11007
"353890 Pirajuí";2827
"353900 Pirangi";2431
"353910 Pirapora do Bom Jesus";4640
"353920 Pirapozinho";7752
"353930 Pirassununga";14145
"353940 Piratininga";2865
"353950 Pitangueiras";8750
"353960 Planalto";1533
"353970 Platina";1365
"353980 Poá";9032
"354000 Pompéia";6316
"354010 Pongaí";1208
"354020 Pontal";4449
"354025 Pontalinda";1291
"354030 Pontes Gestal";953
"354040 Populina";1533
"354050 Porangaba";2808
"354060 Porto Feliz";10059
"354070 Porto Ferreira";7631
"354075 Potim";5057
"354080 Potirendaba";2718
"354085 Pracinha";496
"354100 Praia Grande";82960
"354105 Pratânia";945
"354120 Presidente Bernardes";4005
"354130 Presidente Epitácio";9373
"354140 Presidente Prudente";14547
"354150 Presidente Venceslau";6817
"354160 Promissão";6233
"354165 Quadra";1039
"354170 Quatá";4211
"354180 Queiroz";790
"354190 Queluz";2552
"354200 Quintana";2013
"354220 Rancharia";6323
"354230 Redenção da Serra";860
"354240 Regente Feijó";5739
"354250 Reginópolis";476
"354260 Registro";8200
"354270 Restinga";1384
"354280 Ribeira";972
"354290 Ribeirão Bonito";2803
"354300 Ribeirão Branco";5279
"354310 Ribeirão Corrente";829
"354320 Ribeirão do Sul";1234
"354323 Ribeirão dos Índios";808
"354325 Ribeirão Grande";2433
"354330 Ribeirão Pires";12100
"354340 Ribeirão Preto";61373
"354370 Rincão";436
"354380 Rinópolis";3068
"354390 Rio Claro";16679
"354420 Riolândia";2660
"354350 Riversul";2001
"354425 Rosana";5154
"354430 Roseira";2020
"354440 Rubiácea";896
"354450 Rubinéia";1056
"354460 Sabino";1721
"354470 Sagres";757
"354490 Sales Oliveira";2574
"354530 Salto de Pirapora";12160
"354540 Salto Grande";1716
"354550 Sandovalina";1179
"354580 Santa Bárbara d'Oeste";3086
"354600 Santa Branca";4985
"354610 Santa Clara d'Oeste";741
"354620 Santa Cruz da Conceição";1124
"354625 Santa Cruz da Esperança";121
"354630 Santa Cruz das Palmeiras";4423
"354640 Santa Cruz do Rio Pardo";8050
"354660 Santa Fé do Sul";10665
"354670 Santa Gertrudes";5962
"354680 Santa Isabel";8022
"354710 Santa Mercedes";992
"354740 Santa Rita d'Oeste";926
"354750 Santa Rita do Passa Quatro";520
"354760 Santa Rosa de Viterbo";1631
"354765 Santa Salete";572
"354720 Santana da Ponte Pensa";561
"354730 Santana de Parnaíba";2161
"354770 Santo Anastácio";4665
"354780 Santo André";41619
"354790 Santo Antônio da Alegria";1630
"354800 Santo Antônio de Posse";3385
"354805 Santo Antônio do Aracanguá";2522
"354820 Santo Antônio do Pinhal";1999
"354830 Santo Expedito";1037
"354840 Santópolis do Aguapeí";1382
"354850 Santos";36146
"354870 São Bernardo do Campo";167457
"354880 São Caetano do Sul";21245
"354890 São Carlos";15258
"354900 São Francisco";1023
"354910 São João da Boa Vista";8215
"354925 São João de Iracema";605
"354930 São João do Pau d'Alho";790
"354940 São Joaquim da Barra";5488
"354950 São José da Bela Vista";2085
"354960 São José do Barreiro";1388
"354970 São José do Rio Pardo";5366
"354980 São José do Rio Preto";40567
"354990 São José dos Campos";31998
"354995 São Lourenço da Serra";4934
"355000 São Luís do Paraitinga";3580
"355010 São Manuel";4821
"355030 São Paulo";1256458
"355040 São Pedro";2406
"355050 São Pedro do Turvo";2433
"355060 São Roque";1267
"355070 São Sebastião";21934
"355080 São Sebastião da Grama";3569
"355100 São Vicente";16153
"355120 Sarutaiá";1157
"355130 Sebastianópolis do Sul";1143
"355140 Serra Azul";1836
"355160 Serra Negra";2279
"355150 Serrana";6275
"355170 Sertãozinho";3687
"355180 Sete Barras";1876
"355190 Severínia";4706
"355200 Silveiras";1673
"355210 Socorro";3190
"355220 Sorocaba";14620
"355230 Sud Mennucci";2512
"355240 Sumaré";29384
"355255 Suzanápolis";1204
"355250 Suzano";20927
"355260 Tabapuã";1841
"355270 Tabatinga";2515
"355280 Taboão da Serra";27643
"355290 Taciba";1759
"355300 Taguaí";835
"355310 Taiaçu";1802
"355320 Taiúva";1134
"355330 Tambaú";3823
"355340 Tanabi";6623
"355380 Taquarituba";4085
"355385 Taquarivaí";1568
"355390 Tarabai";2236
"355395 Tarumã";4329
"355400 Tatuí";6621
"355410 Taubaté";11296
"355430 Teodoro Sampaio";6537
"355440 Terra Roxa";2585
"355450 Tietê";4442
"355460 Timburi";921
"355465 Torre de Pedra";799
"355475 Trabiju";524
"355480 Tremembé";8015
"355490 Três Fronteiras";1037
"355500 Tupã";9076
"355510 Tupi Paulista";3316
"355520 Turiúba";697
"355530 Turmalina";746
"355535 Ubarana";1583
"355540 Ubatuba";23233
"355550 Ubirajara";1389
"355560 Uchoa";2774
"355580 Urânia";3121
"355590 Uru";526
"355600 Urupês";813
"355610 Valentim Gentil";3531
"355630 Valparaíso";6126
"355645 Vargem Grande Paulista";10422
"355650 Várzea Paulista";15264
"355660 Vera Cruz";944
"355680 Viradouro";3451
"355690 Vista Alegre do Alto";944
"355695 Vitória Brasil";605
"355700 Votorantim";2011
"355710 Votuporanga";15505
"355715 Zacarias";777
"Total";4927470
 Fonte: Ministério da Saúde - Sistema de Informação de Atenção Básica - SIAB 
 Consulte o site da  Secretaria Estadual de Saúde para mais informações.
