 Sistema de Informação de Atenção Básica - Cadastramento Familiar - São Paulo
Nº Famílias por Município
Período:Dez/2008
"Município";"Nº_Famílias"
"350010 Adamantina";3422
"350020 Adolfo";1254
"350050 Águas de Lindóia";916
"350070 Agudos";3015
"350080 Alfredo Marcondes";1371
"350090 Altair";1102
"350100 Altinópolis";6781
"350110 Alto Alegre";1418
"350120 Álvares Florence";1430
"350130 Álvares Machado";10992
"350140 Álvaro de Carvalho";1026
"350150 Alvinlândia";837
"350160 Americana";8481
"350180 Américo de Campos";1953
"350190 Amparo";17365
"350210 Andradina";11914
"350220 Angatuba";1793
"350230 Anhembi";978
"350240 Anhumas";1183
"350250 Aparecida";3543
"350260 Aparecida d'Oeste";1616
"350270 Apiaí";6179
"350280 Araçatuba";34346
"350290 Araçoiaba da Serra";2483
"350300 Aramina";1443
"350310 Arandu";1753
"350315 Arapeí";798
"350320 Araraquara";13548
"350330 Araras";17484
"350335 Arco-Íris";633
"350340 Arealva";2097
"350350 Areias";1038
"350360 Areiópolis";1967
"350370 Ariranha";1096
"350380 Artur Nogueira";9213
"350390 Arujá";5391
"350400 Assis";8838
"350410 Atibaia";8625
"350440 Avanhandava";2752
"350450 Avaré";4495
"350490 Bananal";2250
"350500 Barão de Antonina";969
"350520 Bariri";3272
"350530 Barra Bonita";928
"350535 Barra do Chapéu";1485
"350540 Barra do Turvo";2
"350550 Barretos";8020
"350560 Barrinha";3105
"350580 Bastos";5684
"350590 Batatais";13794
"350600 Bauru";8914
"350610 Bebedouro";9617
"350620 Bento de Abreu";776
"350630 Bernardino de Campos";2153
"350640 Bilac";2099
"350650 Birigui";23927
"350660 Biritiba-Mirim";3588
"350670 Boa Esperança do Sul";1984
"350680 Bocaina";2329
"350715 Bom Sucesso de Itararé";1057
"350730 Boracéia";1049
"350740 Borborema";5300
"350745 Borebi";581
"350750 Botucatu";9062
"350760 Bragança Paulista";18235
"350770 Braúna";1579
"350775 Brejo Alegre";757
"350790 Brotas";783
"350800 Buri";4370
"350810 Buritama";7197
"350820 Buritizal";909
"350850 Caçapava";11703
"350860 Cachoeira Paulista";6180
"350880 Cafelândia";2063
"350890 Caiabu";1316
"350910 Caiuá";1888
"350920 Cajamar";11438
"350925 Cajati";2298
"350930 Cajobi";1957
"350940 Cajuru";4905
"350945 Campina do Monte Alegre";1671
"350950 Campinas";143549
"350960 Campo Limpo Paulista";5976
"350970 Campos do Jordão";13748
"350980 Campos Novos Paulista";1443
"350990 Cananéia";2914
"350995 Canas";1069
"351000 Cândido Mota";928
"351010 Cândido Rodrigues";912
"351015 Canitar";1010
"351020 Capão Bonito";9946
"351040 Capivari";3225
"351050 Caraguatatuba";24375
"351080 Casa Branca";2475
"351090 Cássia dos Coqueiros";861
"351100 Castilho";5346
"351110 Catanduva";17944
"351140 Cerqueira César";1791
"351150 Cerquilho";11805
"351160 Cesário Lange";1269
"355720 Chavantes";560
"351190 Clementina";2787
"351200 Colina";4376
"351210 Colômbia";1507
"351220 Conchal";6500
"351230 Conchas";4131
"351240 Cordeirópolis";4355
"351250 Coroados";1558
"351260 Coronel Macedo";962
"351280 Cosmópolis";6106
"351290 Cosmorama";579
"351300 Cotia";604
"351310 Cravinhos";772
"351320 Cristais Paulista";567
"351330 Cruzália";797
"351340 Cruzeiro";4580
"351350 Cubatão";15777
"351360 Cunha";3727
"351370 Descalvado";7368
"351380 Diadema";112015
"351385 Dirce Reis";590
"351410 Dois Córregos";1882
"351420 Dolcinópolis";820
"351430 Dourado";2363
"351440 Dracena";1989
"351450 Duartina";3997
"351470 Echaporã";2003
"351480 Eldorado";1335
"351490 Elias Fausto";4095
"351492 Elisiário";875
"351495 Embaúba";740
"351500 Embu das Artes";15884
"351510 Embu-Guaçu";3713
"351512 Emilianópolis";984
"351515 Engenheiro Coelho";2357
"351518 Espírito Santo do Pinhal";8586
"351519 Espírito Santo do Turvo";1332
"355730 Estiva Gerbi";2423
"351530 Estrela do Norte";801
"351535 Euclides da Cunha Paulista";2902
"351540 Fartura";921
"351560 Fernando Prestes";1750
"351550 Fernandópolis";9894
"351565 Fernão";497
"351570 Ferraz de Vasconcelos";17881
"351580 Flora Rica";561
"351600 Flórida Paulista";3436
"351610 Florínia";797
"351620 Franca";4417
"351630 Francisco Morato";30381
"351640 Franco da Rocha";5099
"351650 Gabriel Monteiro";948
"351660 Gália";2326
"351670 Garça";13435
"351685 Gavião Peixoto";1165
"351700 Getulina";872
"351710 Glicério";1446
"351720 Guaiçara";613
"351730 Guaimbê";1570
"351740 Guaíra";10375
"351750 Guapiaçu";2696
"351760 Guapiara";5409
"351770 Guará";4698
"351780 Guaraçaí";752
"351790 Guaraci";2215
"351800 Guarani d'Oeste";721
"351810 Guarantã";1887
"351840 Guaratinguetá";7227
"351850 Guareí";3743
"351860 Guariba";1141
"351870 Guarujá";11370
"351880 Guarulhos";122103
"351890 Guzolândia";1201
"351900 Herculândia";2070
"351905 Holambra";3041
"351907 Hortolândia";9800
"351910 Iacanga";2790
"351920 Iacri";1653
"351925 Iaras";870
"351930 Ibaté";5738
"351940 Ibirá";1144
"351950 Ibirarema";1826
"351960 Ibitinga";1321
"351980 Icém";872
"351990 Iepê";2408
"352010 Igarapava";1366
"352020 Igaratá";2811
"352030 Iguape";5714
"352042 Ilha Comprida";2687
"352044 Ilha Solteira";4643
"352040 Ilhabela";8061
"352050 Indaiatuba";7877
"352060 Indiana";1610
"352070 Indiaporã";1414
"352080 Inúbia Paulista";1124
"352090 Ipaussu";3197
"352100 Iperó";713
"352110 Ipeúna";998
"352120 Iporanga";1212
"352130 Ipuã";3229
"352140 Iracemápolis";5298
"352150 Irapuã";1755
"352160 Irapuru";1892
"352170 Itaberá";3504
"352180 Itaí";2875
"352190 Itajobi";4391
"352200 Itaju";872
"352210 Itanhaém";17639
"352215 Itaóca";930
"352220 Itapecerica da Serra";11413
