 Sistema de Informação de Atenção Básica - Cadastramento Familiar - São Paulo
Nº Famílias por Município
Período:Dez/2002
"Município";"Nº_Famílias"
"350020 Adolfo";960
"350030 Aguaí";2814
"350080 Alfredo Marcondes";1279
"350090 Altair";944
"350100 Altinópolis";4496
"350110 Alto Alegre";1337
"350130 Álvares Machado";2831
"350140 Álvaro de Carvalho";804
"350150 Alvinlândia";780
"350160 Americana";892
"350190 Amparo";12723
"350200 Analândia";745
"350210 Andradina";13501
"350220 Angatuba";775
"350240 Anhumas";967
"350250 Aparecida";1968
"350260 Aparecida d'Oeste";1574
"350270 Apiaí";6013
"350280 Araçatuba";32595
"350290 Araçoiaba da Serra";1532
"350300 Aramina";839
"350310 Arandu";1827
"350315 Arapeí";796
"350320 Araraquara";3330
"350330 Araras";11639
"350335 Arco-Íris";625
"350350 Areias";933
"350380 Artur Nogueira";6325
"350400 Assis";12274
"350410 Atibaia";1737
"350440 Avanhandava";1821
"350450 Avaré";1892
"350480 Bálsamo";2165
"350490 Bananal";1650
"350500 Barão de Antonina";802
"350520 Bariri";3056
"350530 Barra Bonita";930
"350535 Barra do Chapéu";1308
"350540 Barra do Turvo";582
"350560 Barrinha";3569
"350580 Bastos";4277
"350590 Batatais";12600
"350600 Bauru";5032
"350610 Bebedouro";4390
"350620 Bento de Abreu";694
"350630 Bernardino de Campos";2788
"350640 Bilac";1987
"350650 Birigui";339
"350660 Biritiba-Mirim";309
"350715 Bom Sucesso de Itararé";868
"350730 Boracéia";995
"350745 Borebi";533
"350760 Bragança Paulista";4745
"350770 Braúna";1424
"350775 Brejo Alegre";719
"350780 Brodowski";965
"350790 Brotas";491
"350800 Buri";3472
"350810 Buritama";4015
"350820 Buritizal";749
"350860 Cachoeira Paulista";2394
"350880 Cafelândia";433
"350890 Caiabu";1251
"350900 Caieiras";865
"350910 Caiuá";1159
"350920 Cajamar";4935
"350925 Cajati";813
"350930 Cajobi";870
"350940 Cajuru";4855
"350945 Campina do Monte Alegre";1585
"350950 Campinas";10810
"350980 Campos Novos Paulista";1226
"350990 Cananéia";2628
"350995 Canas";927
"351000 Cândido Mota";883
"351015 Canitar";962
"351020 Capão Bonito";11178
"351040 Capivari";2062
"351050 Caraguatatuba";17782
"351090 Cássia dos Coqueiros";838
"351100 Castilho";4492
"351110 Catanduva";8017
"351150 Cerquilho";9945
"351160 Cesário Lange";1480
"355720 Chavantes";665
"351190 Clementina";1652
"351200 Colina";4720
"351210 Colômbia";923
"351220 Conchal";1166
"351230 Conchas";4261
"351240 Cordeirópolis";2057
"351250 Coroados";1428
"351260 Coronel Macedo";572
"351280 Cosmópolis";4100
"351320 Cristais Paulista";625
"351330 Cruzália";769
