 Sistema de Informação de Atenção Básica - Cadastramento Familiar - São Paulo
Nº Famílias por Município
Período:Dez/2002
"Município";"Nº_Famílias"
"351340 Cruzeiro";1646
"351350 Cubatão";17715
"351360 Cunha";2810
"351370 Descalvado";1919
"351380 Diadema";27214
"351385 Dirce Reis";532
"351410 Dois Córregos";1180
"351420 Dolcinópolis";707
"351430 Dourado";732
"351440 Dracena";8308
"351460 Dumont";1167
"351470 Echaporã";1553
"351480 Eldorado";1535
"351490 Elias Fausto";3615
"351492 Elisiário";841
"351495 Embaúba";736
"351500 Embu das Artes";3498
"351512 Emilianópolis";904
"351515 Engenheiro Coelho";1667
"351518 Espírito Santo do Pinhal";8898
"351519 Espírito Santo do Turvo";1032
"355730 Estiva Gerbi";1043
"351530 Estrela do Norte";747
"351535 Euclides da Cunha Paulista";2693
"351540 Fartura";884
"351550 Fernandópolis";2133
"351565 Fernão";426
"351570 Ferraz de Vasconcelos";7316
"351580 Flora Rica";635
"351600 Flórida Paulista";3099
"351610 Florínia";773
"351620 Franca";4343
"351630 Francisco Morato";30160
"351640 Franco da Rocha";4841
"351650 Gabriel Monteiro";833
"351660 Gália";2229
"351670 Garça";9929
"351685 Gavião Peixoto";916
"351710 Glicério";1334
"351730 Guaimbê";1485
"351750 Guapiaçu";1755
"351760 Guapiara";2904
"351770 Guará";3095
"351780 Guaraçaí";708
"351790 Guaraci";2277
"351800 Guarani d'Oeste";637
"351810 Guarantã";1781
"351820 Guararapes";5359
"351840 Guaratinguetá";4659
"351850 Guareí";3073
"351860 Guariba";1109
"351880 Guarulhos";1253
"351885 Guatapará";1424
"351890 Guzolândia";1378
"351900 Herculândia";2046
"351905 Holambra";1122
"351907 Hortolândia";3727
"351920 Iacri";1515
"351925 Iaras";580
"351930 Ibaté";4682
"351940 Ibirá";998
"351950 Ibirarema";1686
"351960 Ibitinga";1181
"351970 Ibiúna";2776
"351980 Icém";630
"351990 Iepê";2144
"352010 Igarapava";488
"352020 Igaratá";2467
"352030 Iguape";2269
"352042 Ilha Comprida";2562
"352044 Ilha Solteira";2119
"352040 Ilhabela";6996
"352050 Indaiatuba";5186
"352060 Indiana";1422
"352070 Indiaporã";1349
"352080 Inúbia Paulista";1007
"352100 Iperó";727
"352110 Ipeúna";964
"352115 Ipiguá";1177
"352120 Iporanga";1045
"352130 Ipuã";2381
"352140 Iracemápolis";2739
"352150 Irapuã";902
"352160 Irapuru";1910
"352170 Itaberá";2771
"352210 Itanhaém";13616
"352215 Itaóca";859
"352220 Itapecerica da Serra";9055
"352230 Itapetininga";3744
"352240 Itapeva";12992
"352250 Itapevi";2120
"352260 Itapira";9599
"352265 Itapirapuã Paulista";993
"352270 Itápolis";292
"352290 Itapuí";2929
"352300 Itapura";1045
"352310 Itaquaquecetuba";4780
"352320 Itararé";8872
"352330 Itariri";3182
"352370 Itirapuã";451
"352380 Itobi";1853
"352390 Itu";4557
"352410 Ituverava";2246
"352420 Jaborandi";1862
"352430 Jaboticabal";719
"352440 Jacareí";490
"352450 Jaci";1011
"352460 Jacupiranga";1464
"352480 Jales";9000
"352490 Jambeiro";1196
"352500 Jandira";5147
"352510 Jardinópolis";2895
"352530 Jaú";1829
"352540 Jeriquara";795
"352560 João Ramalho";1089
"352570 José Bonifácio";894
"352580 Júlio Mesquita";1244
"352590 Jundiaí";9255
"352600 Junqueirópolis";3290
"352610 Juquiá";3505
"352620 Juquitiba";2811
"352630 Lagoinha";1486
"352650 Lavínia";1438
"352660 Lavrinhas";1548
"352670 Leme";9196
"352680 Lençóis Paulista";992
"352700 Lindóia";795
"352710 Lins";7782
"352720 Lorena";1765
"352725 Lourdes";616
"352740 Lucélia";3279
"352760 Luís Antônio";2272
"352770 Luiziânia";1283
"352780 Lupércio";1204
"352790 Lutécia";825
"352800 Macatuba";3995
"352820 Macedônia";1101
"352840 Mairinque";1136
"352850 Mairiporã";3947
"352870 Marabá Paulista";1183
"352900 Marília";53217
"352910 Marinópolis";670
"352920 Martinópolis";2397
"352930 Matão";672
"352940 Mauá";56075
"352950 Mendonça";1004
"352960 Meridiano";1206
"352965 Mesópolis";586
"352970 Miguelópolis";2463
"353000 Mira Estrela";875
"352990 Miracatu";2363
"353010 Mirandópolis";6847
"353020 Mirante do Paranapanema";3567
"353030 Mirassol";2328
"353050 Mococa";5119
"353070 Mogi Guaçu";30407
"353080 Mogi Mirim";6161
"353090 Mombuca";869
"353100 Monções";633
"353110 Mongaguá";994
"353120 Monte Alegre do Sul";623
"353130 Monte Alto";880
"353140 Monte Aprazível";648
"353160 Monte Castelo";1254
"353180 Monte Mor";2989
"353170 Monteiro Lobato";966
"353190 Morro Agudo";985
"353205 Motuca";298
"353210 Murutinga do Sul";1319
"353215 Nantes";681
"353220 Narandiba";1010
"353250 Neves Paulista";1065
"353260 Nhandeara";2033
"353282 Nova Campina";1903
"353284 Nova Canaã Paulista";759
"353286 Nova Castilho";293
"353290 Nova Europa";1072
"353310 Nova Guataporanga";646
"353320 Nova Independência";666
"353330 Nova Luzitânia";925
"353350 Novo Horizonte";1897
"353360 Nuporanga";914
"353410 Oriente";1698
"353430 Orlândia";3491
"353450 Oscar Bressane";793
"353460 Osvaldo Cruz";4244
"353470 Ourinhos";1788
"353480 Ouro Verde";2190
"353490 Pacaembu";1936
"353530 Palmital";3102
"353540 Panorama";3857
"353550 Paraguaçu Paulista";5879
"353560 Paraibuna";4049
"353580 Paranapanema";626
"353590 Paranapuã";1178
"353600 Parapuã";2102
"353620 Pariquera-Açu";3368
"353625 Parisi";648
"353630 Patrocínio Paulista";1141
"353640 Paulicéia";1584
"353670 Pederneiras";855
"353680 Pedra Bela";945
"353690 Pedranópolis";834
"353710 Pedreira";1813
"353715 Pedrinhas Paulista";180
"353720 Pedro de Toledo";2633
"353730 Penápolis";16366
"353740 Pereira Barreto";4604
"353750 Pereiras";2219
"353760 Peruíbe";4979
"353770 Piacatu";1486
"353780 Piedade";1118
"353790 Pilar do Sul";1274
"353800 Pindamonhangaba";5066
"353830 Piquerobi";892
"353870 Piracicaba";15459
"353880 Piraju";8976
"353910 Pirapora do Bom Jesus";2359
"353920 Pirapozinho";3432
"353930 Pirassununga";9499
"353950 Pitangueiras";5266
"353960 Planalto";1097
"353970 Platina";861
"353980 Poá";3341
"354000 Pompéia";4366
"354025 Pontalinda";1074
"354030 Pontes Gestal";781
"354040 Populina";1345
"354050 Porangaba";1944
"354060 Porto Feliz";3566
"354075 Potim";3761
"354080 Potirendaba";1945
"354085 Pracinha";424
"354090 Pradópolis";1132
"354100 Praia Grande";19954
"354120 Presidente Bernardes";3011
"354130 Presidente Epitácio";4892
"354140 Presidente Prudente";11014
"354150 Presidente Venceslau";6473
"354160 Promissão";3840
"354170 Quatá";2966
"354180 Queiroz";643
"354190 Queluz";2249
"354200 Quintana";1675
"354220 Rancharia";4377
"354230 Redenção da Serra";980
"354240 Regente Feijó";3311
"354260 Registro";6362
"354270 Restinga";869
"354280 Ribeira";885
"354300 Ribeirão Branco";4820
"354310 Ribeirão Corrente";695
"354320 Ribeirão do Sul";597
"354323 Ribeirão dos Índios";740
"354325 Ribeirão Grande";1955
"354330 Ribeirão Pires";13996
"354340 Ribeirão Preto";40236
"354360 Rifaina";596
"354390 Rio Claro";1929
"354420 Riolândia";2067
"354350 Riversul";2123
"354425 Rosana";2882
"354440 Rubiácea";614
"354450 Rubinéia";908
"354470 Sagres";702
"354480 Sales";1076
"354490 Sales Oliveira";1579
"354530 Salto de Pirapora";8605
"354550 Sandovalina";958
"354600 Santa Branca";4496
"354620 Santa Cruz da Conceição";970
"354630 Santa Cruz das Palmeiras";1003
"354640 Santa Cruz do Rio Pardo";7764
"354660 Santa Fé do Sul";8572
"354670 Santa Gertrudes";1289
"354680 Santa Isabel";2693
"354710 Santa Mercedes";698
"354740 Santa Rita d'Oeste";887
"354750 Santa Rita do Passa Quatro";1083
"354760 Santa Rosa de Viterbo";803
"354765 Santa Salete";481
"354730 Santana de Parnaíba";1138
"354770 Santo Anastácio";2843
"354780 Santo André";15044
"354790 Santo Antônio da Alegria";464
"354805 Santo Antônio do Aracanguá";1971
"354820 Santo Antônio do Pinhal";1818
"354830 Santo Expedito";816
"354840 Santópolis do Aguapeí";1159
"354850 Santos";36781
"354870 São Bernardo do Campo";73766
"354880 São Caetano do Sul";12718
"354890 São Carlos";4972
"354900 São Francisco";962
"354910 São João da Boa Vista";4327
"354925 São João de Iracema";522
"354930 São João do Pau d'Alho";664
"354950 São José da Bela Vista";750
"354960 São José do Barreiro";1149
"354970 São José do Rio Pardo";3937
"354980 São José do Rio Preto";6204
"354990 São José dos Campos";22439
"354995 São Lourenço da Serra";3520
"355000 São Luís do Paraitinga";3108
"355010 São Manuel";428
"355030 São Paulo";441747
"355050 São Pedro do Turvo";2070
"355060 São Roque";2503
"355070 São Sebastião";17652
"355080 São Sebastião da Grama";1585
"355090 São Simão";600
"355100 São Vicente";20728
"355130 Sebastianópolis do Sul";853
"355140 Serra Azul";1060
"355150 Serrana";3124
"355180 Sete Barras";2169
"355190 Severínia";2416
"355200 Silveiras";1386
"355220 Sorocaba";6578
"355230 Sud Mennucci";2197
"355240 Sumaré";622
"355255 Suzanápolis";737
"355270 Tabatinga";888
"355280 Taboão da Serra";2223
"355290 Taciba";1645
"355310 Taiaçu";1532
"355320 Taiúva";1384
"355330 Tambaú";1571
"355350 Tapiraí";2125
"355360 Tapiratiba";3405
"355365 Taquaral";738
"355370 Taquaritinga";1126
"355380 Taquarituba";2369
"355385 Taquarivaí";1243
"355390 Tarabai";1863
"355395 Tarumã";3054
"355430 Teodoro Sampaio";5521
"355440 Terra Roxa";967
"355450 Tietê";1315
"355460 Timburi";934
"355480 Tremembé";999
"355490 Três Fronteiras";1555
"355500 Tupã";3563
"355510 Tupi Paulista";3351
"355520 Turiúba";641
"355530 Turmalina";779
"355535 Ubarana";697
"355540 Ubatuba";11047
"355550 Ubirajara";1181
"355580 Urânia";2256
"355600 Urupês";772
"355610 Valentim Gentil";559
"355630 Valparaíso";4462
"355640 Vargem Grande do Sul";1713
"355660 Vera Cruz";789
"355680 Viradouro";3910
"355690 Vista Alegre do Alto";1259
"355695 Vitória Brasil";486
"355700 Votorantim";1730
"355710 Votuporanga";6676
"355715 Zacarias";647
"Total";2096547
 Fonte: Ministério da Saúde - Sistema de Informação de Atenção Básica - SIAB 
 Consulte o site da  Secretaria Estadual de Saúde para mais informações.
